Address,Aggravated assault,Arson,Burglary,Larceny,Murder,Robbery,Vehicle theft,Total
100 block Comstock Av,,,1,3,,,,4
100 block Comstock Pl,,,2,1,,,1,4
100 block Concord Pl,,,,1,,,,1
100 block Conifer Dr,1,,,,,,,1
100 block Cook Av,,,,1,,,,1
100 block Coolidge Av,2,,2,1,,,,5
100 block Cordova St,,,1,,,,,1
100 block Cortland Av,1,,,,,1,,2
100 block Cortland Pl,1,,,,,,,1
100 block Court Ter,,,,1,,,,1
100 block Craton St,,,,1,,,,1
100 block Crawford Av,,,,1,,,,1
100 block Cresline Dr,,,,2,,,,2
100 block Croly St,4,1,1,3,,,1,10
100 block Croton Ter,,,1,,,,,1
100 block Crouse Dr,,,,1,,,,1
100 block Crysler St,,,,1,,,,1
100 block Culbert St,1,,1,2,,,,4
100 block Curtis St,,,,1,,,,1
100 block Dablon Ct,3,,1,3,,,1,8
100 block Daisy St,,,,1,,,,1
100 block Dakin St,,,,1,,,,1
100 block Dale St,,,,1,,,,1
100 block Danforth Ter,,1,,,,,,1
100 block Darlington Rd,,,,2,,,,2
100 block Davis St,1,,,,,,1,2
100 block Dearborn Pl,2,,3,2,,,,7
100 block Delaware St,,,2,1,,,1,4
100 block Delong Av,2,,1,1,,,,4
100 block Delray Av,,,,1,,,,1
100 block Depalma Av,,,,1,,1,,2
100 block Dewey Av,,,,1,,,,1
100 block Dewitt St,,,,1,,,,1
100 block Dickerson St,8,,,15,,8,,31
100 block Didama St,,,1,,,,,1
100 block Doll Pkwy,,,,2,,,,2
100 block Doroty St,,,,1,,,,1
100 block Duane St,,,,1,,,,1
100 block Dudley St,,,,,,,3,3
100 block Durston Av,,,1,2,,,,3
100 block Dyer Ct,2,,,,,,,2
100 block Beard Av E,,,,1,,,,1
100 block Bissell St E,2,,2,3,,,1,8
100 block Borden Av E,,,,1,,,,1
100 block Brighton Av E,1,,1,,,,,2
100 block Cheltenham Rd E,,,1,,,,,1
100 block Colvin St E,1,,,1,,,,2
100 block Corning Av E,1,,,,,,,1
100 block Fayette St E,,,,1,,,1,2
100 block Genesee Pkwy E,,,,,,,1,1
100 block Genesee St E,,,,1,,,,1
100 block Jefferson St E,,,1,,,1,1,3
100 block Kennedy St E,2,,1,4,,,,7
100 block Lafayette Av E,,,1,1,,,,2
100 block Matson Av E,,,,1,,,,1
100 block Onondaga St E,,,,7,,,,7
100 block Raynor Av E,,,,,,1,,1
100 block Raynor St E,,,,1,,,,1
100 block Seneca Tpke E,,,,1,,,,1
100 block Warrington Av E,,,,1,,,,1
100 block Warrington Rd E,,,,1,,,,1
100 block Washington St E,,,,2,,,,2
100 block Water St E,1,,,3,,,,4
100 block East Av,,,1,1,,,,2
100 block Eastman Av,,,,,,,1,1
100 block Edison St,,,1,,,,,1
100 block Edmund Av,,,1,1,,,,2
100 block Edna Rd,,,3,,,,,3
100 block Edtim Rd,,,3,1,,,1,5
100 block Elizabeth Blackwell St,,,,1,,,,1
100 block Elk St,,,,,,,1,1
100 block Elliott St,,,,1,,,,1
100 block Elmhurst Av,1,,,3,,,,4
100 block Elmwood Av,,1,,,,,,1
100 block Eloise Ter,,,1,1,,,,2
100 block Elsner St,,,1,,,,,1
100 block Emerson Av,,,,2,,,,2
100 block Erickson St,,,,1,,,,1
100 block Erie Blvd E,,,,1,,,,1
100 block Ethel St,,,1,,,,,1
100 block Eureka St,,,,3,,,1,4
100 block Fage Av,,,1,,,1,,2
100 block Fairview Av,,,1,,,,,1
100 block Feigel Av,,,,1,,,,1
100 block Fellows Av,,,,5,,,,5
100 block Fenton St,,,1,1,,,1,3
100 block Fenway Dr,,,1,1,,,,2
100 block Fernwood Av,3,,1,1,,1,,6
100 block Fillmore Av,1,,1,,,,,2
100 block Fiscoe Av,,,,1,,,,1
100 block Fish Av,,,,1,,,,1
100 block Fobes Av,1,,,,,,1,2
100 block Ford Av,1,,,,,1,,2
100 block Fordham Rd,,,,1,,,2,3
100 block Frisbie Ct,1,,,1,,,1,3
100 block Furman St,,,1,1,,,,2
100 block Genesee Park Dr,,,,1,,,,1
100 block Gertrude St,1,,,2,,,,3
100 block Gifford Pkwy,,,1,,,,,1
100 block Gifford St,2,1,,,,,,3
100 block Glahn Av,,,,,,,1,1
100 block Glenwood Av,1,,,,,,,1
100 block Goodrich Av,,,,1,,,,1
100 block Gordon Av,,,,,,,1,1
100 block Gorland Av,,,1,,,,,1
100 block Grace St,,,1,,,,1,2
100 block Grand Av,,1,2,,,,,3
100 block Granger St,1,,,,,,,1
100 block Grant Av,,,1,,,,1,2
100 block Grassman Av,1,,1,,,,,2
