"","police_call_block","Aggravated_assault","Arson","Burglary","Larceny","Robbery","vehicle_theft"
"459","100 block sedgwick dr  ",NA,NA,NA,2,NA,NA
"460","100 block sedgwick rd  ",NA,NA,NA,NA,NA,1
"461","100 block seeley av  ",NA,NA,NA,1,NA,NA
"462","100 block seeley rd  ",NA,NA,NA,1,NA,NA
"463","100 block seneca dr  ",NA,NA,1,NA,NA,NA
"464","100 block seventh north st  ",1,NA,NA,NA,NA,NA
"465","100 block seventh north st st  ",NA,NA,1,NA,NA,NA
"466","100 block seward st  ",NA,NA,NA,2,NA,NA
"467","100 block seymour st  ",NA,NA,NA,2,NA,NA
"468","100 block shirley rd  ",NA,NA,NA,2,NA,NA
"469","100 block shonnard st  ",NA,NA,1,NA,NA,NA
"470","100 block shop city plz  ",NA,NA,NA,1,NA,NA
"471","100 block shotwell pk  ",NA,NA,1,1,NA,NA
"472","100 block sidman av  ",NA,NA,NA,1,NA,NA
"473","100 block simon dr  ",NA,NA,NA,6,NA,NA
"474","100 block slayton av  ",NA,NA,NA,1,NA,NA
"475","100 block smith ln  ",1,1,NA,5,NA,NA
"476","100 block smith rd  ",NA,NA,1,1,NA,NA
"477","100 block snell ter  ",NA,NA,NA,1,NA,NA
"478","100 block solar st  ",NA,NA,NA,3,NA,NA
"479","100 block south av  ",1,NA,NA,1,NA,NA
"480","100 block spring st  ",1,NA,1,NA,1,NA
"481","100 block st anne dr  ",NA,NA,NA,1,NA,NA
"482","100 block st louis av  ",NA,NA,NA,5,NA,NA
"483","100 block stafford av  ",NA,NA,1,1,NA,NA
"484","100 block state fair blvd  ",NA,NA,NA,1,NA,NA
"485","100 block stedman st  ",NA,NA,1,NA,NA,NA
"486","100 block steuben st  ",4,NA,3,1,1,1
"487","100 block stewart ct  ",NA,NA,NA,1,NA,NA
"488","100 block stinard av  ",NA,NA,NA,1,NA,1
"489","100 block strathmore dr  ",NA,NA,NA,1,NA,NA
"490","100 block strong av  ",NA,NA,NA,1,NA,NA
"491","100 block sunrise dr  ",NA,NA,1,1,NA,NA
"492","100 block sunset av  ",NA,NA,NA,2,NA,NA
"493","100 block sunstruck dr  ",NA,NA,NA,NA,NA,1
"494","100 block syracuse st  ",NA,NA,NA,1,NA,NA
"495","100 block temple pl  ",NA,NA,1,1,NA,NA
"496","100 block tennyson av  ",NA,NA,1,1,NA,NA
"497","100 block thurlow dr  ",NA,NA,NA,1,NA,NA
"498","100 block tioga st  ",NA,NA,NA,NA,1,NA
"499","100 block titus al  ",NA,NA,1,NA,NA,NA
"500","100 block townsend pl  ",NA,NA,1,NA,NA,NA
"501","100 block tracy st  ",NA,NA,NA,1,NA,NA
"502","100 block trinity pl  ",NA,NA,NA,1,NA,NA
"503","100 block truth ter  ",1,NA,NA,NA,NA,NA
"504","100 block tyler ct  ",NA,NA,NA,1,NA,NA
"505","100 block upland rd  ",NA,NA,NA,1,NA,NA
"506","100 block vale st  ",NA,NA,NA,NA,1,NA
"507","100 block valley dr  ",NA,NA,NA,8,1,1
"508","100 block valley view dr  ",NA,NA,1,NA,NA,NA
"509","100 block van rensselaer st  ",NA,NA,NA,1,NA,NA
"510","100 block vann st  ",NA,NA,NA,1,NA,NA
"511","100 block victoria pl  ",NA,NA,1,1,NA,NA
"512","100 block village dr  ",NA,NA,NA,3,NA,NA
"513","100 block villiage dr  ",1,NA,NA,NA,NA,NA
"514","100 block vincent st  ",NA,NA,NA,1,NA,NA
"515","100 block  beard av  ",NA,NA,1,NA,NA,NA
"516","100 block  bissell st  ",2,NA,2,NA,NA,NA
"517","100 block  calthrop av  ",NA,NA,1,NA,NA,NA
"518","100 block  colvin st  ",NA,NA,NA,1,NA,NA
"519","100 block  corning av  ",NA,NA,NA,1,1,NA
"520","100 block  court st  ",NA,NA,NA,NA,NA,1
"521","100 block  division st  ",NA,NA,3,NA,NA,NA
"522","100 block  fayette st  ",1,NA,NA,13,1,NA
"523","100 block  florence av  ",NA,NA,1,NA,NA,NA
"524","100 block  glen av  ",NA,NA,NA,2,NA,NA
"525","100 block  jefferson st  ",NA,NA,NA,2,NA,NA
"526","100 block  kennedy st  ",NA,NA,NA,1,NA,NA
"527","100 block  kirkpatrick st  ",NA,NA,NA,1,NA,NA
"528","100 block  lafayette av  ",NA,NA,NA,1,NA,NA
"529","100 block  lafayette st  ",NA,NA,NA,NA,1,NA
"530","100 block  lynhurst av  ",1,NA,2,NA,NA,1
"531","100 block  matson av  ",NA,NA,3,NA,NA,NA
"532","100 block  newell st  ",NA,NA,1,1,NA,NA
"533","100 block  onondaga st  ",1,NA,NA,NA,NA,NA
"534","100 block  ostrander av  ",NA,NA,2,3,NA,1
"535","100 block  pleasant av  ",NA,NA,1,NA,NA,NA
"536","100 block  seneca tpke  ",NA,NA,NA,1,NA,1
"537","100 block  washington st  ",NA,NA,NA,1,NA,NA
"538","100 block wadsworth st  ",NA,NA,1,1,NA,NA
"539","100 block wall st  ",NA,NA,1,1,NA,NA
"540","100 block walrath rd  ",NA,NA,2,NA,NA,NA
"541","100 block walton st  ",1,NA,NA,6,NA,NA
"542","100 block warham st  ",NA,NA,NA,NA,1,NA
"543","100 block warner av  ",NA,NA,NA,NA,NA,1
"544","100 block washington sq  ",NA,NA,NA,3,NA,NA
"545","100 block wayne st  ",NA,NA,1,NA,NA,NA
"546","100 block webster av  ",NA,NA,NA,1,NA,1
"547","100 block weiser ct  ",1,NA,NA,1,NA,NA
"548","100 block wellesley rd  ",NA,NA,NA,1,NA,NA
"549","100 block wendell ter  ",NA,NA,NA,1,NA,NA
"550","100 block west end dr  ",NA,NA,NA,1,NA,NA
"551","100 block westminster av  ",1,NA,NA,NA,NA,NA
"552","100 block white st  ",NA,NA,NA,1,NA,NA
"553","100 block williams st  ",NA,NA,NA,NA,1,NA
"554","100 block willis av  ",NA,NA,NA,1,NA,NA
"555","100 block wilmore pl  ",NA,NA,NA,1,NA,NA
"556","100 block wiman av  ",1,NA,NA,2,NA,NA
"557","100 block winding ridge rd  ",NA,NA,NA,1,NA,NA
"558","100 block winsor pl  ",NA,NA,NA,1,NA,NA
"559","100 block wolf st  ",1,NA,1,NA,NA,NA
"560","100 block wood av  ",NA,NA,1,3,NA,2
"561","100 block woodbine av  ",NA,NA,NA,1,NA,NA
"562","100 block woodruff av  ",NA,NA,NA,NA,1,NA
"563","100 block woodside dr  ",NA,NA,1,NA,NA,NA
"564","100 block worden av  ",NA,NA,NA,1,NA,1
"565","100 block xavier cir  ",NA,NA,NA,1,NA,NA
"566","1000 block avery av  ",NA,NA,NA,1,NA,NA
"567","1000 block bellevue av  ",NA,NA,1,1,NA,NA
"568","1000 block butternut st  ",1,NA,2,1,NA,NA
"569","1000 block canal st  ",NA,NA,1,2,NA,1
"570","1000 block carbon st  ",NA,NA,NA,NA,1,1
"571","1000 block col eileen collins blvd  ",NA,NA,NA,9,NA,2
"572","1000 block court st  ",NA,NA,1,1,NA,NA
"573","1000 block danforth st  ",NA,NA,NA,NA,1,NA
"574","1000 block  adams st   e",NA,NA,NA,1,NA,NA
"575","1000 block  fayette st   e",NA,NA,NA,1,NA,NA
"576","1000 block  genesee st   e",NA,NA,NA,2,NA,NA
"577","1000 block emerson av  ",NA,1,NA,NA,NA,NA
"578","1000 block erie blvd   e",NA,NA,2,NA,NA,NA
"579","1000 block first north st  ",NA,NA,NA,1,NA,NA
"580","1000 block harrison st  ",NA,NA,3,1,NA,NA
"581","1000 block highland av  ",NA,NA,NA,1,NA,NA
"582","1000 block highland st  ",2,NA,1,3,NA,NA
"583","1000 block irving av  ",NA,NA,NA,3,NA,NA
"584","1000 block ivy ridge rd  ",NA,NA,1,NA,NA,NA
"585","1000 block james st  ",NA,NA,4,7,1,2
"586","1000 block lancaster av  ",NA,NA,1,1,NA,1
"587","1000 block lodi st  ",1,NA,1,1,NA,NA
"588","1000 block madison st  ",1,NA,3,3,NA,NA
"589","1000 block meadowbrook dr  ",NA,NA,NA,1,NA,NA
"590","1000 block mertens av  ",NA,NA,NA,1,NA,NA
"591","1000 block midland av  ",1,NA,NA,NA,NA,NA
"592","1000 block milton av  ",NA,NA,NA,1,NA,1
"593","1000 block  mcbride st   n",NA,NA,2,NA,NA,NA
"594","1000 block  state st   n",NA,NA,1,NA,NA,NA
"595","1000 block  townsend st   n",2,NA,1,NA,NA,NA
"596","1000 block oak st  ",NA,NA,NA,2,NA,NA
"597","1000 block park st  ",1,NA,NA,3,NA,1
"598","1000 block pond st  ",NA,NA,1,1,1,NA
"599","1000 block  clinton st   s",3,NA,NA,8,2,NA
"600","1000 block  geddes st   s",NA,NA,2,1,2,NA
"601","1000 block  mcbride st   s",1,NA,2,2,NA,NA
"602","1000 block  salina st   s",NA,NA,1,NA,NA,NA
"603","1000 block  townsend st   s",2,NA,NA,2,NA,NA
"604","1000 block spring st  ",NA,NA,NA,NA,1,NA
"605","1000 block sunnycrest rd  ",NA,NA,NA,2,NA,NA
"606","1000 block teall av  ",NA,NA,NA,NA,1,NA
"607","1000 block tyson pl  ",NA,NA,2,2,NA,NA
"608","1000 block union pl  ",1,NA,NA,NA,NA,NA
"609","1000 block valley dr  ",NA,NA,1,NA,NA,NA
"610","1000 block  belden av  ",NA,NA,NA,2,NA,NA
"611","1000 block  fayette st  ",NA,NA,1,1,NA,NA
"612","1000 block  genesee st  ",1,NA,1,22,NA,1
"613","1000 block  genessee st  ",NA,NA,NA,1,NA,NA
"614","1000 block  onondaga st  ",2,NA,1,1,NA,NA
"615","1000 block wadsworth st  ",NA,NA,NA,1,NA,NA
"616","1000 block walnut av  ",NA,NA,NA,1,NA,NA
"617","1000 block westcott st  ",NA,NA,1,1,NA,NA
"618","1000 block westmoreland av  ",NA,NA,1,NA,NA,NA
"619","1000 block willis av  ",NA,NA,2,NA,NA,NA
"620","1000 block wolf st  ",NA,NA,NA,1,NA,NA
"621","1100 block avery av  ",1,NA,NA,NA,NA,NA
"622","1100 block ballantyne rd  ",NA,NA,NA,1,NA,NA
"623","1100 block bellevue av  ",NA,NA,NA,2,1,2
"624","1100 block butternut st  ",1,NA,1,2,1,NA
"625","1100 block cannon st  ",3,NA,1,NA,NA,NA
"626","1100 block carbon st  ",NA,NA,1,NA,NA,1
"627","1100 block  fayette st   e",1,NA,1,1,NA,NA
"628","1100 block  genesee st   e",NA,NA,NA,1,NA,NA
"629","1100 block  washington st   e",NA,NA,NA,1,NA,NA
"630","1100 block erie blvd   e",NA,NA,NA,2,NA,NA
"631","1100 block erie blvd  ",NA,NA,NA,NA,NA,1
"632","1100 block first north st  ",NA,NA,NA,2,NA,NA
"633","1100 block grant blvd  ",NA,NA,1,NA,NA,NA
"634","1100 block james st  ",NA,NA,NA,3,NA,NA
"635","1100 block kirkpatrick st  ",NA,NA,1,NA,NA,NA
"636","1100 block lancaster av  ",1,NA,NA,NA,NA,NA
"637","1100 block lodi st  ",NA,NA,NA,1,NA,NA
"638","1100 block madison st  ",NA,NA,3,NA,NA,NA
"639","1100 block  salina st   n",1,NA,NA,15,3,NA
"640","1100 block  townsend st   n",1,NA,NA,1,NA,NA
"641","1100 block park st  ",NA,NA,2,4,NA,NA
"642","1100 block  geddes st   s",NA,NA,NA,NA,NA,1
"643","1100 block  salina st   s",NA,NA,NA,2,NA,NA
"644","1100 block  townsend st   s",1,NA,NA,NA,NA,NA
"645","1100 block salt springs rd  ",1,NA,NA,1,NA,NA
"646","1100 block south av  ",1,NA,NA,NA,NA,NA
"647","1100 block spring st  ",NA,NA,NA,2,NA,NA
"648","1100 block sunnycrest rd  ",NA,NA,NA,1,NA,NA
"649","1100 block teal av  ",1,NA,NA,NA,NA,NA
"650","1100 block teall av  ",1,NA,NA,2,NA,NA
"651","1100 block  belden av  ",NA,NA,1,1,NA,2
"652","1100 block  colvin st  ",1,NA,2,1,NA,NA
"653","1100 block  genesee st  ",NA,NA,1,1,NA,NA
"654","1100 block  onondaga st  ",NA,NA,2,2,NA,NA
"655","1100 block westcott st  ",1,NA,NA,NA,NA,NA
"656","1100 block willis av  ",NA,NA,NA,1,NA,NA
"657","1100 block wolf st  ",NA,NA,1,1,NA,NA
"658","1200 block almond st  ",NA,NA,NA,5,NA,1
"659","1200 block avery av  ",NA,NA,3,2,NA,NA
"660","1200 block bellevue av  ",NA,NA,1,NA,NA,NA
"661","1200 block burnet av  ",NA,NA,NA,1,NA,2
"662","1200 block butternut st  ",1,NA,3,NA,1,1
"663","1200 block  fayette st   e",1,NA,NA,1,NA,NA
"664","1200 block  genesee st   e",NA,NA,NA,1,NA,NA
"665","1200 block first north st  ",1,NA,NA,NA,NA,NA
"666","1200 block grant blvd  ",NA,NA,2,NA,NA,NA
"667","1200 block harrison st  ",NA,NA,4,5,NA,1
"668","1200 block highland st  ",NA,NA,1,NA,NA,NA
"669","1200 block ivy ridge rd  ",NA,NA,NA,1,NA,NA
"670","1200 block james st  ",NA,NA,1,NA,NA,2
"671","1200 block lemoyne av  ",NA,NA,NA,1,NA,NA
"672","1200 block madison st  ",1,NA,4,3,NA,NA
"673","1200 block midland av  ",1,NA,NA,NA,NA,NA
"674","1200 block milton av  ",3,2,6,3,1,NA
"675","1200 block  salina st   n",NA,NA,NA,2,NA,NA
"676","1200 block  state st   n",1,NA,3,NA,1,NA
"677","1200 block park st  ",1,NA,NA,1,1,1
"678","1200 block  geddes st   s",2,NA,NA,2,1,NA
"679","1200 block  salina st   s",NA,NA,NA,1,NA,NA
"680","1200 block  state st   s",2,NA,NA,3,NA,NA
"681","1200 block salt springs rd  ",NA,NA,NA,1,NA,NA
"682","1200 block south av  ",2,NA,NA,6,NA,NA
"683","1200 block spring st  ",NA,NA,1,NA,NA,NA
"684","1200 block teall av  ",NA,NA,NA,1,NA,NA
"685","1200 block  fayette st  ",NA,NA,NA,NA,NA,1
"686","1200 block  genesee st  ",NA,NA,NA,2,NA,NA
"687","1200 block  onondaga st  ",NA,NA,NA,1,NA,NA
"688","1200 block  onondage st  ",NA,NA,1,NA,NA,NA
"689","1200 block westcott st  ",NA,NA,NA,1,NA,NA
"690","1200 block willis av  ",NA,NA,NA,1,1,1
"691","1200 block wolf st  ",NA,NA,1,NA,NA,NA
"692","1300 block bellevue av  ",NA,NA,1,NA,NA,NA
"693","1300 block burnet av  ",NA,NA,3,NA,NA,NA
"694","1300 block butternut st  ",3,NA,3,3,2,1
"695","1300 block court st  ",NA,NA,NA,1,NA,NA
"696","1300 block  adams st   e",NA,NA,1,4,NA,NA
"697","1300 block  fayette st   e",NA,NA,NA,1,2,NA
"698","1300 block  genesee st   e",NA,NA,2,NA,NA,NA
"699","1300 block  water st   e",NA,NA,NA,1,NA,NA
"700","1300 block erie blvd  ",NA,NA,1,NA,NA,NA
"701","1300 block euclid av  ",NA,NA,NA,2,NA,NA
"702","1300 block first north st  ",NA,NA,NA,2,NA,NA
"703","1300 block grant blvd  ",NA,NA,NA,1,NA,NA
"704","1300 block highland st  ",1,NA,NA,NA,NA,NA
"705","1300 block lancaster av  ",NA,NA,NA,1,NA,NA
"706","1300 block lodi st  ",NA,NA,NA,1,NA,NA
"707","1300 block madison st  ",NA,NA,NA,1,NA,NA
"708","1300 block midland av  ",NA,NA,NA,NA,NA,1
"709","1300 block  salina st   n",NA,NA,NA,1,1,NA
"710","1300 block northcliff rd  ",NA,NA,NA,1,NA,NA
"711","1300 block oak st  ",NA,NA,NA,NA,1,1
"712","1300 block  state st   s",2,NA,NA,NA,1,NA
"713","1300 block salt springs rd  ",NA,NA,NA,NA,2,NA
"714","1300 block spring st  ",1,NA,NA,NA,NA,NA
"715","1300 block stolp av  ",NA,NA,1,NA,NA,NA
"716","1300 block teall av  ",NA,NA,NA,1,NA,NA
"717","1300 block  colvin st  ",NA,NA,NA,1,NA,NA
"718","1300 block  fayette sch  ",NA,NA,NA,1,NA,NA
"719","1300 block  fayette st  ",1,NA,NA,NA,NA,NA
"720","1300 block  onondaga st  ",NA,NA,NA,1,NA,NA
"721","1300 block willis av  ",NA,NA,1,NA,1,NA
"722","1400 block burnet av  ",NA,NA,3,2,NA,NA
"723","1400 block butternut st  ",1,NA,NA,NA,NA,NA
"724","1400 block comstock av  ",NA,NA,NA,NA,NA,1
"725","1400 block  fayette st   e",NA,NA,NA,2,NA,NA
"726","1400 block  genesee st   e",NA,NA,3,NA,NA,NA
"727","1400 block  washington st   e",NA,NA,NA,1,NA,NA
"728","1400 block euclid av  ",NA,NA,1,NA,NA,NA
"729","1400 block grant blvd  ",NA,NA,NA,1,NA,NA
"730","1400 block hawley av  ",NA,NA,NA,1,1,NA
"731","1400 block lemoyne av  ",NA,NA,NA,NA,1,NA
"732","1400 block lodi st  ",1,NA,NA,2,NA,NA
"733","1400 block midland av  ",1,NA,2,1,1,1
"734","1400 block  salina st   n",1,NA,1,NA,NA,NA
"735","1400 block  state st   n",NA,NA,1,1,NA,NA
"736","1400 block oak st  ",NA,NA,1,NA,1,NA
"737","1400 block park st  ",NA,NA,NA,2,NA,NA
"738","1400 block  mcbride st   s",NA,NA,NA,1,NA,NA
"739","1400 block  salina st   s",3,NA,NA,7,1,NA
"740","1400 block  state st   s",2,NA,NA,NA,NA,NA
"741","1400 block salt springs rd  ",NA,NA,NA,1,NA,NA
"742","1400 block valley dr  ",NA,NA,NA,1,NA,NA
"743","1400 block  colvin st  ",NA,NA,NA,NA,1,NA
"744","1400 block  genesee st  ",2,NA,NA,1,NA,NA
"745","1400 block  genseee st  ",NA,NA,NA,1,NA,NA
"746","1500 block bellevue av  ",NA,NA,NA,2,NA,NA
"747","1500 block burnet av  ",NA,NA,NA,2,NA,NA
"748","1500 block caleb av  ",1,NA,NA,1,NA,NA
"749","1500 block comstock av  ",NA,NA,NA,1,NA,NA
"750","1500 block  fayette st   e",NA,NA,NA,1,NA,NA
"751","1500 block  genesee st   e",2,NA,1,2,NA,NA
"752","1500 block glenwood av  ",NA,NA,NA,1,NA,NA
"753","1500 block ivy ridge rd  ",NA,NA,2,NA,NA,NA
"754","1500 block lemoyne av  ",NA,NA,NA,1,NA,NA
"755","1500 block lodi st  ",NA,NA,2,2,1,NA
"756","1500 block meadowbrook dr  ",NA,NA,1,NA,NA,NA
"757","1500 block midland av  ",1,NA,NA,1,NA,NA
"758","1500 block  salina st   n",NA,NA,NA,2,1,1
"759","1500 block  state st   n",NA,NA,NA,NA,NA,1
"760","1500 block park st  ",NA,NA,1,NA,NA,NA
"761","1500 block  geddes st   s",NA,NA,NA,3,NA,NA
"762","1500 block  salina st   s",NA,NA,NA,NA,1,NA
"763","1500 block  state st   s",NA,NA,NA,2,NA,NA
"764","1500 block salt springs rd  ",NA,NA,NA,1,NA,NA
"765","1500 block south av  ",NA,NA,NA,1,NA,NA
"766","1500 block spring st  ",1,NA,NA,NA,NA,NA
"767","1500 block valley dr  ",NA,NA,2,NA,NA,NA
"768","1500 block  genesee st  ",NA,NA,1,4,1,1
"769","1500 block  onondaga st  ",NA,NA,NA,2,NA,NA
"770","1600 block bellevue av  ",2,NA,NA,NA,NA,1
"771","1600 block butternut st  ",NA,NA,1,NA,NA,NA
"772","1600 block court st  ",NA,NA,NA,1,1,NA
"773","1600 block  fayette st   e",NA,NA,NA,NA,NA,1
"774","1600 block  genesee st   e",NA,NA,NA,NA,1,NA
"775","1600 block erie blvd   e",NA,NA,1,6,1,NA
"776","1600 block grant blvd  ",NA,NA,3,2,NA,NA
"777","1600 block hawley av  ",NA,NA,NA,2,NA,1
"778","1600 block james st  ",NA,NA,1,3,NA,NA
"779","1600 block lodi st  ",NA,NA,2,2,NA,NA
"780","1600 block meadowbrook dr  ",NA,NA,NA,1,NA,NA
"781","1600 block  salina st   n",NA,NA,NA,1,NA,NA
"782","1600 block park st  ",NA,NA,NA,3,NA,NA
"783","1600 block  geddes st   s",NA,NA,NA,2,1,NA
"784","1600 block saltsprings rd  ",NA,NA,NA,1,NA,NA
"785","1600 block south av  ",NA,NA,NA,2,NA,NA
"786","1600 block spring st  ",NA,NA,1,1,NA,1
"787","1600 block  colvin st  ",1,NA,NA,NA,NA,1
"788","1600 block  fayette st  ",NA,NA,NA,1,NA,NA
"789","1600 block  genesee st  ",2,NA,2,2,NA,NA
"790","1600 block  onondaga st  ",NA,NA,NA,2,NA,NA
"791","1700 block bellevue av  ",NA,NA,1,NA,NA,NA
"792","1700 block burnet av  ",NA,NA,NA,NA,1,NA
"793","1700 block butternut st  ",NA,NA,NA,1,NA,NA
"794","1700 block erie blvd   e",NA,NA,NA,1,NA,NA
"795","1700 block grant blvd  ",NA,NA,NA,9,NA,NA
"796","1700 block lodi st  ",NA,NA,1,NA,1,NA
"797","1700 block meadowbrook dr  ",NA,NA,1,2,NA,NA
"798","1700 block  salina st   n",NA,NA,NA,3,NA,NA
"799","1700 block park st  ",1,NA,NA,2,NA,NA
"800","1700 block  salina st   s",NA,NA,1,2,1,NA
"801","1700 block  state st   s",NA,NA,1,NA,NA,NA
"802","1700 block valley dr  ",NA,NA,NA,1,NA,NA
"803","1700 block  onondaga st  ",1,NA,2,1,NA,NA
"804","1800 block bellevue av  ",1,NA,1,NA,NA,NA
"805","1800 block burnet av  ",NA,NA,NA,3,NA,NA
"806","1800 block butternut st  ",NA,NA,NA,NA,1,NA
"807","1800 block  fayette st   e",2,1,1,4,1,NA
"808","1800 block euclid av  ",NA,NA,NA,1,NA,NA
"809","1800 block grant blvd  ",1,NA,1,2,NA,NA
"810","1800 block james st  ",NA,NA,NA,1,NA,NA
"811","1800 block lodi st  ",NA,1,NA,1,NA,NA
"812","1800 block midland av  ",1,NA,1,1,NA,NA
"813","1800 block  salina st   s",1,NA,NA,1,NA,NA
"814","1800 block  state st   s",NA,NA,2,NA,1,NA
"815","1800 block south av  ",NA,NA,NA,1,NA,NA
"816","1800 block teall av  ",NA,NA,NA,1,NA,NA
"817","1800 block  fayette st  ",NA,NA,NA,1,NA,NA
"818","1800 block  genesee st  ",NA,NA,2,4,NA,NA
"819","1900 block bellevue av  ",NA,NA,NA,1,NA,NA
"820","1900 block caleb av  ",NA,NA,2,NA,NA,NA
"821","1900 block  fayette st   e",1,NA,2,NA,NA,NA
"822","1900 block  genesee st   e",NA,NA,4,NA,NA,NA
"823","1900 block erie blvd   e",NA,NA,NA,2,NA,NA
"824","1900 block euclid av  ",NA,NA,NA,1,NA,NA
"825","1900 block glenwood av  ",NA,NA,1,2,NA,NA
"826","1900 block grant blvd  ",NA,NA,NA,2,NA,NA
"827","1900 block  salina st   s",NA,1,NA,NA,NA,NA
"828","1900 block south av  ",NA,NA,3,NA,NA,NA
"829","1900 block valley dr  ",NA,NA,1,1,NA,NA
"830","1900 block  fayette st  ",1,NA,NA,1,NA,NA
"831","1900 block  genesee st  ",NA,NA,2,1,NA,1
"832","200 block 8th av  ",NA,NA,NA,1,NA,NA
"833","200 block academy pl  ",NA,NA,1,1,NA,NA
"834","200 block apple st  ",1,NA,NA,NA,NA,NA
"835","200 block arch st  ",NA,NA,NA,1,NA,NA
"836","200 block arden dr  ",NA,NA,NA,1,NA,NA
"837","200 block ardmore rd  ",NA,NA,NA,1,NA,NA
"838","200 block arlington av  ",NA,NA,NA,2,NA,NA
"839","200 block ash st  ",NA,NA,NA,1,NA,NA
"840","200 block ashdale av  ",1,NA,1,1,NA,2
"841","200 block ashworth pl  ",NA,NA,NA,1,NA,NA
"842","200 block austin av  ",NA,NA,NA,1,NA,NA
"843","200 block avery av  ",NA,NA,NA,1,NA,NA
"844","200 block baker av  ",NA,NA,NA,1,NA,NA
"845","200 block ballantyne rd  ",NA,NA,NA,1,NA,NA
"846","200 block barrett st  ",3,NA,NA,1,NA,NA
"847","200 block barrington rd  ",NA,NA,NA,1,NA,NA
"848","200 block basin st  ",NA,NA,2,1,NA,NA
"849","200 block beattie st  ",NA,NA,NA,1,1,1
"850","200 block beecher st  ",NA,NA,1,1,NA,NA
"851","200 block bellevue av  ",1,NA,NA,1,NA,NA
"852","200 block bennington dr  ",NA,NA,NA,2,NA,1
"853","200 block berkeley dr  ",NA,NA,NA,1,NA,NA
"854","200 block boyden st  ",NA,NA,NA,1,NA,NA
"855","200 block brampton rd  ",NA,NA,NA,1,NA,NA
"856","200 block brattle rd  ",NA,NA,NA,3,NA,NA
"857","200 block brookford rd  ",NA,NA,NA,1,NA,NA
"858","200 block brooklea pl  ",NA,NA,NA,2,NA,1
"859","200 block bruce st  ",NA,NA,NA,1,NA,NA
"860","200 block bryant av  ",NA,NA,1,1,NA,NA
"861","200 block buckingham av  ",NA,NA,1,NA,NA,NA
"862","200 block burnet av  ",NA,NA,NA,1,NA,NA
"863","200 block cadwell st  ",NA,NA,NA,1,NA,NA
"864","200 block caleb av  ",NA,NA,NA,NA,NA,1
"865","200 block cambridge st  ",NA,NA,NA,2,NA,NA
"866","200 block cannon st  ",NA,NA,1,NA,NA,NA
"867","200 block carbon st  ",NA,NA,4,1,NA,NA
"868","200 block carlton rd  ",NA,NA,NA,1,NA,NA
"869","200 block catherine st  ",NA,NA,1,NA,NA,NA
"870","200 block chaffee av  ",NA,NA,NA,1,NA,NA
"871","200 block chavez ter  ",1,NA,NA,1,NA,NA
"872","200 block chemung st  ",NA,NA,NA,1,NA,NA
"873","200 block cherry st  ",1,NA,NA,NA,NA,NA
"874","200 block clarendon st  ",NA,NA,2,1,NA,NA
"875","200 block coleridge av  ",NA,NA,1,1,NA,NA
"876","200 block comstock av  ",NA,NA,4,8,NA,NA
"877","200 block comstock pl  ",NA,NA,NA,1,2,NA
"878","200 block congress av  ",NA,NA,NA,NA,NA,2
"879","200 block conklin av  ",NA,NA,1,2,NA,1
"880","200 block craddock st  ",NA,NA,1,1,NA,NA
"881","200 block crafton av  ",NA,NA,NA,1,NA,NA
"882","200 block craton st  ",NA,NA,1,NA,NA,NA
"883","200 block crippen av  ",NA,NA,1,NA,NA,NA
"884","200 block croly st  ",NA,NA,NA,NA,NA,1
"885","200 block dale st  ",NA,NA,NA,1,NA,NA
"886","200 block delhi st  ",NA,NA,NA,1,1,NA
"887","200 block delray av  ",NA,NA,NA,2,NA,NA
"888","200 block demong dr  ",NA,NA,1,NA,NA,NA
"889","200 block dewitt rd  ",NA,NA,1,NA,NA,NA
"890","200 block dewitt st  ",NA,NA,NA,1,NA,NA
"891","200 block dorchester av  ",NA,NA,1,1,NA,NA
"892","200 block douglas st  ",NA,NA,1,NA,NA,NA
"893","200 block duane st  ",1,NA,NA,1,NA,NA
"894","200 block durston av  ",NA,NA,NA,1,NA,NA
"895","200 block  adams st   e",NA,1,NA,NA,NA,NA
"896","200 block  belden av   e",1,NA,NA,NA,NA,NA
"897","200 block  cheltenham rd   e",NA,NA,1,NA,NA,NA
"898","200 block  fayette st   e",NA,NA,NA,1,NA,NA
"899","200 block  genesee pkwy   e",NA,NA,NA,1,NA,NA
"900","200 block  jefferson st   e",1,NA,1,2,NA,NA
"901","200 block  kennedy st   e",NA,NA,NA,1,NA,NA
"902","200 block  onondaga st   e",NA,NA,NA,NA,NA,1
"903","200 block  washington st   e",NA,NA,NA,3,NA,NA
"904","200 block  water st   e",NA,NA,1,2,NA,1
"905","200 block east av  ",NA,NA,NA,NA,NA,1
"906","200 block eldorado st  ",NA,NA,NA,1,NA,NA
"907","200 block elsner st  ",NA,NA,NA,NA,NA,1
"908","200 block empire av  ",NA,NA,2,1,NA,NA
"909","200 block erickson st  ",NA,NA,1,NA,NA,NA
"910","200 block erie blvd   e",NA,NA,NA,1,NA,NA
"911","200 block erie st  ",NA,NA,NA,1,NA,NA
"912","200 block essex st  ",NA,NA,1,NA,NA,NA
"913","200 block euclid av  ",NA,NA,NA,1,NA,NA
"914","200 block fayette blvd  ",NA,NA,1,1,NA,NA
"915","200 block fellows av  ",NA,NA,NA,1,NA,NA
"916","200 block fenway dr  ",NA,NA,1,NA,NA,1
