,Address,Fire.alarm
947,1100 block james st  at n collingwood av,1
948,1100 block james st  at n mcbride st,1
949,1100 block james st  at n salina st,1
950,1100 block james st  at oak st,2
951,1100 block james st  at stafford av,1
952,1100 block james st  at vine st,1
953,1100 block jamesville ave  at ainsley dr,1
954,1100 block jasper st  at beecher st,1
955,1100 block jasper st  at oak st,1
956,1100 block jefferson st  at s clinton st,1
957,1100 block jericho dr  at oriskany dr,1
958,1100 block kelley park dr,1
959,1100 block kennedy st  at midland av,1
960,1100 block kennedy st  at s state st e,1
961,1100 block kennedy st  at south av,1
962,1100 block kimber rd  at euclid av,1
963,1100 block kingsley pl  at emerson av,1
964,1100 block kirk park dr  at w brighton av,1
965,1100 block kirkpatrick st,1
966,1100 block kirkpatrick st  at spring st,1
967,1100 block lafayette ave,3
968,1100 block lafayette ave  at s salina st e,1
969,1100 block lambreth ln  at jamesville av,1
970,1100 block lancaster ave,1
971,1100 block lancaster ave  at broad st,1
972,1100 block laurel st  at catherine st e,1
973,1100 block laurel st  at lodi st e,1
974,1100 block leavenworth ave  at erie blvd w,1
975,1100 block leavenworth ave  at van rensselaer st,1
976,1100 block leavenworth ave  at w belden av,1
977,1100 block lemoyne ave,2
978,1100 block lemoyne ave  at wadsworth st,1
979,1100 block lexington ave  at allen st,1
980,1100 block lilac st  at pond st,1
981,1100 block lincoln ave  at clover st,1
982,1100 block lincoln ave  at tallman st,2
983,1100 block liverpool to destiny usa ramp  at destiny usa t,1
984,1100 block livingston ave,1
985,1100 block livingston ave  at euclid av,1
986,1100 block lodi st  at ash st,1
987,1100 block lodi st  at court st,1
988,1100 block lodi st  at e division st,1
989,1100 block lodi st  at green st,1
990,1100 block lodi st  at hawley av,1
991,1100 block lodi st  at hickory st,1
992,1100 block lodi st  at john st,1
993,1100 block lodi st  at oak st,1
994,1100 block lodi st  at wolf st,1
995,1100 block lowell ave  at ulster st n,1
996,1100 block lydell st  at hartson st,1
997,1100 block macdougall pl,1
998,1100 block magnolia st  at w fayette st,1
999,1100 block marcellus st  at nelson st,1
1000,1100 block marcellus st  at s geddes st,1
1001,1100 block marlborough rd  at james st,1
1002,1100 block marshall st  at university av,1
1003,1100 block martin luther king e  at renwick av,1
1004,1100 block martin luther king e  at s salina st,1
1005,1100 block martin luther king e  at s state st,1
1006,1100 block martin st  at lemoyne av,1
1007,1100 block maxwell ct,1
1008,1100 block may ave  at eastman av,1
1009,1100 block mcbride st  at burnet av n,1
1010,1100 block mcbride st  at erie blvd e n,1
1011,1100 block mcbride st n,17
1012,1100 block mcbride st s,6
1013,1100 block meadowbrook dr,1
1014,1100 block meadowbrook dr  at bradford pkwy,1
1015,1100 block meadowbrook dr  at e genesee st,1
1016,1100 block meadowbrook dr  at kensington pl,1
1017,1100 block melbourne ave  at mountainview av,1
1018,1100 block merriman ave  at congress av,1
1019,1100 block merriman ave  at s geddes st,1
1020,1100 block midland ave  at belle av,2
1021,1100 block midland ave  at furman st,1
1022,1100 block midland ave  at hall av,1
1023,1100 block midland ave  at kenmore av,1
1024,1100 block midland ave  at w colvin st,1
1025,1100 block midland ave  at w lafayette av,1
1026,1100 block midland ave  at w onondaga st,1
1027,1100 block midland ave  at w ostrander av,1
1028,1100 block midland ave at,1
1029,1100 block midler ave  at burnet av s,2
1030,1100 block midler ave  at erie blvd e s,1
1031,1100 block milton ave,1
1032,1100 block milton ave  at west end dr,1
1033,1100 block monroe st  at dyer ct,1
1034,1100 block montgomery st  at burt st,2
1035,1100 block montgomery st  at e taylor st,1
1036,1100 block n salina st st  at ash st n,1
1037,1100 block nb i 81,9
1038,1100 block nb i 81  at e adams st from nb i,1
1039,1100 block nb i 81  at e adams st to nb i 8,2
1040,1100 block nb i 81  at liverpool from nb i,1
1041,1100 block nb i 81  at seventh north st fro,1
1042,1100 block nb i 81 to eb i 690  at teall ave from eb i,1
1043,1100 block nb i 81 to nb i 481  at nb i 481,1
1044,1100 block nb i 81 to wb i 690  at wb i 690,1
1045,1100 block nb i 81 to wb i 690 at,1
1046,1100 block nb west st to herald pl ramp  at herald pl,1
1047,1100 block nichols ave  at sunnycrest rd,1
1048,1100 block north ave at,1
1049,1100 block oak pl  at oak st,1
1050,1100 block oak st,3
1051,1100 block oak st  at farmer st,1
1052,1100 block oak st  at hawley av,2
1053,1100 block oak st  at james st,1
1054,1100 block oak st  at sidney st,1
1055,1100 block onondaga ave,4
1056,1100 block onondaga blvd  at onondaga blvd,1
1057,1100 block onondaga creek blvd  at w colvin st,1
1058,1100 block onondaga lake pkwy to park st ramp,1
1059,1100 block onondaga st  at montgomery st e,1
1060,1100 block onondaga st  at s clinton st,1
1061,1100 block onondaga st  at s salina st e,1
1062,1100 block onondaga st  at s state st e,1
1063,1100 block onondaga st  at south av,1
1064,1100 block ostrom ave,1
1065,1100 block ostrom ave  at s beech st,1
1066,1100 block ostrom ave  at university pl,1
1067,1100 block oswego st  at shonnard st,1
1068,1100 block park ave,3
1069,1100 block park ave  at leavenworth av,1
1070,1100 block park ave  at n geddes st,1
1071,1100 block park ave  at van rensselaer st,1
1072,1100 block park drwy,1
1073,1100 block park st,2
1074,1100 block park st  at butternut st,1
1075,1100 block park st  at danforth st,1
1076,1100 block park st  at farmers market way,1
1077,1100 block park st  at harborside dr,1
1078,1100 block park st  at nbt bank pkwy,1
1079,1100 block park st  at pond st,1
1080,1100 block park st  at strand pl,1
1081,1100 block pastime dr  at turtle st,1
1082,1100 block peat st  at burnet av,1
1083,1100 block peters st  at butternut st,1
1084,1100 block pond st,52
1085,1100 block pond st  at becker st,1
1086,1100 block pond st  at carbon st,1
1087,1100 block pond st  at first north st,2
1088,1100 block pond st  at high st,1
1089,1100 block pond st  at pond ln,1
1090,1100 block pond st  at spring st,1
1091,1100 block presidential ct,1
1092,1100 block presidential plz,5
1093,1100 block putnam st  at s geddes st,1
1094,1100 block rear of 1009 harrison st,1
1095,1100 block rear of 134 walton st,1
1096,1100 block rear of 403 salt springs rd,1
1097,1100 block rear of 600 robinson st,1
1098,1100 block rear of 614 park st,1
1099,1100 block rear of 713 e genesee st,1
1100,1100 block richmond ave  at lakeview av,1
1101,1100 block roberts ave  at parkside av,1
1102,1100 block rowland st  at s geddes st,1
1103,1100 block sackett st  at apple st,1
1104,1100 block safety ln  at larned st,1
1105,1100 block salina st  at ballantyne rd s,2
1106,1100 block salina st  at bennington dr s,1
1107,1100 block salina st  at cortland av s,1
1108,1100 block salina st  at danforth st n,2
1109,1100 block salina st  at e beard av s,2
1110,1100 block salina st  at e colvin st s,1
1111,1100 block salina st  at e fayette st s,1
1112,1100 block salina st  at e florence av s,1
1113,1100 block salina st  at e jefferson st s,2
1114,1100 block salina st  at e washington st s,1
1115,1100 block salina st  at e water st s,2
1116,1100 block salina st  at exchange st n,1
1117,1100 block salina st  at fiscoe av s,1
1118,1100 block salina st  at furman st s,1
1119,1100 block salina st  at herald pl n,1
1120,1100 block salina st  at james st n,1
1121,1100 block salina st  at kirkpatrick st n,2
1122,1100 block salina st  at lemoyne av n,1
1123,1100 block salina st  at s state st s,1
1124,1100 block salina st  at tallman st s,2
1125,1100 block salina st  at walrath rd s,1
1126,1100 block salina st  at wolf st n,1
1127,1100 block salina st n,3
1128,1100 block salina st s,1
1129,1100 block salt springs rd,15
1130,1100 block salt springs rd  at candee av,1
1131,1100 block sb i 481  at e brighton ave from,1
1132,1100 block sb i 81,8
1133,1100 block sb i 81  at bear st to sb i 81 r,1
1134,1100 block sb i 81  at e adams st to sb i 8,2
1135,1100 block sb i 81  at harrison st from sb,2
1136,1100 block sb i 81  at n clinton st from sb,1
1137,1100 block sb i 81  at s salina st from sb,3
1138,1100 block sb i 81  at sb route 481 to sb i,1
1139,1100 block sb i 81 at,1
1140,1100 block sb i 81 to eb i 690 at eb i 690,1
1141,1100 block scoville ave  at woodruff av,1
1142,1100 block second north st st  at wolf st n,1
1143,1100 block sedgwick st  at james st,1
1144,1100 block seeley rd  at hazelwood av,1
1145,1100 block seneca st  at,1
1146,1100 block seneca st  at marcellus st,1
1147,1100 block seneca tpke  at hopper rd,1
1148,1100 block seneca tpke  at milburn dr,1
1149,1100 block seneca tpke  at s salina st e,1
1150,1100 block seneca tpke  at seneca pl,1
1151,1100 block seneca tpke  at valley dr,1
1152,1100 block shuart ave  at teall av,1
1153,1100 block slocum ave  at shonnard st,1
1154,1100 block smith st  at erie blvd e,1
1155,1100 block solar st  at w bear st,1
1156,1100 block solar st  at w division st,1
1157,1100 block south ave,1
1158,1100 block south ave  at centennial dr,1
1159,1100 block south ave  at kirk av,1
1160,1100 block south ave  at tallman st,1
1161,1100 block spencer st,3
1162,1100 block spencer to sb i 81 ramp  at spencer catawba fro,1
1163,1100 block spring st  at bear st,1
1164,1100 block spring st  at pond st,2
1165,1100 block springfield rd  at salt springs rd,1
1166,1100 block stadium pl  at van buren st,2
1167,1100 block state st  at ash st n,1
1168,1100 block state st  at e belden av n,1
1169,1100 block state st  at e fayette st s,1
1170,1100 block state st  at isabella st n,1
1171,1100 block state st  at james st n,2
1172,1100 block state st  at madison st s,1
1173,1100 block state st  at martin luther king e s,1
1174,1100 block state st  at mcclure av s,1
1175,1100 block state st n,1
1176,1100 block state st s,3
1177,1100 block sterling ave  at south av,1
1178,1100 block strong ave  at euclid av,1
1179,1100 block sumner ave,2
1180,1100 block sumner ave  at euclid av,3
1181,1100 block sunset ave st  at danforth st,1
1182,1100 block tallman st  at hudson st,1
1183,1100 block tallman st  at midland av,1
1184,1100 block tallman st  at oneida st,1
1185,1100 block tallman st  at s salina st,1
1186,1100 block taylor st  at s salina st e,1
1187,1100 block taylor st  at s townsend st e,1
1188,1100 block teall ave,1
1189,1100 block teall ave  at burnet av,1
1190,1100 block teall ave  at grant blvd,1
1191,1100 block teall ave  at james st,1
1192,1100 block teall ave  at kinne st,1
1193,1100 block teall ave  at vann st,1
1194,1100 block thompson rd  at james st,1
1195,1100 block thurber st  at e brighton av,1
1196,1100 block to 1000 col eileen collins blvd,1
1197,1100 block to 115 academy green,1
1198,1100 block to 211 lafayette rd,1
1199,1100 block to 333 e water st,1
1200,1100 block to 400 velasko rd,1
1201,1100 block to 419 elliott st,1
1202,1100 block to 928 avery ave,1
1203,1100 block townsend st  at ash st n,1
1204,1100 block townsend st  at e adams st s,1
1205,1100 block townsend st  at e taylor st s,1
1206,1100 block townsend st  at e willow st n,1
1207,1100 block townsend st  at hawley av n,1
1208,1100 block townsend st  at hickory st n,1
1209,1100 block townsend st n,3
1210,1100 block townsend st s,1
1211,1100 block truth ter  at oakwood av,1
1212,1100 block tully st  at wyoming st,1
1213,1100 block tyson pl,5
1214,1100 block union pl  at kirkpatrick st,1
1215,1100 block union pl  at n state st,1
1216,1100 block university ave  at,1
1217,1100 block university ave  at madison st,1
1218,1100 block usa plot drwy,1
1219,1100 block valley dr  at chaffee ave e,1
1220,1100 block van rensselaer st  at w genesee st,1
1221,1100 block velasko rd  at onondaga rd,1
1222,1100 block velasko rd  at stolp av,1
1223,1100 block wadsworth st,6
1224,1100 block wadsworth st  at court st,1
1225,1100 block wadsworth st  at lemoyne av,1
1226,1100 block wadsworth st  at mertens av,1
1227,1100 block wallace st  at herald pl,1
1228,1100 block walnut ave,12
1229,1100 block walnut ave  at e adams st,1
1230,1100 block walrath rd  at fillmore av,1
1231,1100 block warren st  at e onondaga st s,1
1232,1100 block warren st  at madison st s,1
1233,1100 block washington st  at s franklin st,1
1234,1100 block wb i 690  at bear st to wb i 690,1
1235,1100 block wb i 690  at burnet ave from wb i,1
1236,1100 block wb i 690  at hiawatha blvd w to w,1
1237,1100 block wb i 690  at n townsend st from w,2
1238,1100 block wb i 690  at nb west st to wb i 6,1
1239,1100 block wb i 690  at teall ave from wb i,1
1240,1100 block wb i 690 to nb i 81  at nb i 81,1
1241,1100 block wendell ter  at scoville av,1
1242,1100 block west end dr  at milton av,1
1243,1100 block west st  at erie blvd w from sb s,1
1244,1100 block west st  at gifford st s,2
1245,1100 block west st  at w genesee st n,1
1246,1100 block west st  at w onondaga st s,1
1247,1100 block westcott st,2
1248,1100 block westcott st  at euclid av,1
1249,1100 block westcott st  at kensington rd,1
1250,1100 block westmoreland ave,1
1251,1100 block whitwell dr  at park st,1
1252,1100 block wilbur ave  at tennyson av s,1
1253,1100 block willis ave,3
1254,1100 block willis ave  at cayuga st,1
1255,1100 block willow st  at catherine st e,1
1256,1100 block willow st  at hickory st e,1
1257,1100 block willow st  at lodi st e,1
1258,1100 block willow st  at n state st e,3
1259,1100 block willow st  at pearl st e,2
1260,1100 block willumae dr  at wolf st,2
1261,1100 block winthrop rd  at culver dr,1
1262,1100 block wolf st  at second north st,1
1263,1100 block wolf st  at sixth north st,1
1264,1100 block wolf st  at spring st,1
1265,1100 block woodruff ave  at grant blvd,1
1266,1100 block woodruff ave  at mertens av,1
1267,200 block arsenal dr,2
1268,200 block avon rd,1
1269,200 block baker ave,1
1270,200 block baldwin ave,1
1271,200 block ballantyne rd,7
1272,200 block bassett st,1
1273,200 block beard ave,1
1274,200 block berger ave,1
1275,200 block berkshire ave,3
1276,200 block bertram pl,3
1277,200 block beverly rd,1
1278,200 block bissell st e,1
1279,200 block briggs st,1
1280,200 block brighton ave,1
1281,200 block brighton ave e,1
1282,200 block brooklea pl,5
1283,200 block buckingham ave,1
1284,200 block burnet ave,6
1285,200 block butternut st,5
1286,200 block calthrop ave,1
1287,200 block calthrop ave e,1
1288,200 block camp ave,1
1289,200 block centennial dr,9
1290,200 block charmouth dr,1
1291,200 block cheltenham rd e,1
1292,200 block collingwood ave s,2
1293,200 block comstock ave,1
1294,200 block corning ave,1
1295,200 block crestview dr,1
1296,200 block crouse dr,21
1297,200 block cumberland ave,1
1298,200 block dablon ct,2
1299,200 block dale st,1
1300,200 block darlington rd,1
1301,200 block dawes ave,2
1302,200 block didama st,2
1303,200 block duke dr,1
1304,200 block eb i 690,4
1305,200 block elmwood ave,1
1306,200 block erickson st,2
1307,200 block erie blvd e,17
1308,200 block euclid ave,1
1309,200 block fayette blvd,1
1310,200 block fayette st e,3
1311,200 block fellows ave,2
1312,200 block fenway dr,2
1313,200 block fernwood ave,3
1314,200 block first north st,5
1315,200 block fiscoe ave,2
1316,200 block forest ave,1
1317,200 block geddes st n,5
1318,200 block geddes st s,4
1319,200 block genesee park dr,1
1320,200 block genesee st,2
1321,200 block genesee st e,17
1322,200 block gertrude st,1
1323,200 block gifford st,6
1324,200 block grace st,1
1325,200 block grant blvd,2
1326,200 block greenland dr,2
1327,200 block hall ave,1
1328,200 block harold st,1
1329,200 block hastings pl,1
1330,200 block hazelhurst ave,1
1331,200 block headson dr,1
1332,200 block henry st,91
1333,200 block hiawatha pl,1
1334,200 block highland ave,2
1335,200 block hoefler st,1
1336,200 block hope ave,4
1337,200 block hudson st,1
1338,200 block huntley st,1
1339,200 block intrepid ln,1
1340,200 block ivy ridge rd,1
1341,200 block jaclyn dr,1
1342,200 block john st,3
1343,200 block kappesser st,1
1344,200 block kidd ave,1
1345,200 block kidd ave e,1
1346,200 block kingsley pl,1
1347,200 block kuhl ave,1
1348,200 block lafayette rd,1
1349,200 block lakeview ave,3
1350,200 block lancaster ave,5
1351,200 block lawrence st,1
1352,200 block lemoyne ave,5
1353,200 block lilac st,1
1354,200 block lodi st,7
1355,200 block luddington st,1
1356,200 block lynwood ave,2
1357,200 block manor dr,4
1358,200 block maple ter,1
1359,200 block maplehurst ave,1
1360,200 block maplewood ave,2
1361,200 block marshall st,2
1362,200 block mary st,17
1363,200 block matson ave,1
1364,200 block matson ave e,1
1365,200 block maxwell ave,2
1366,200 block mclennan ave,2
1367,200 block meadowbrook dr,4
1368,200 block merritt ave,2
1369,200 block midland ave,4
1370,200 block midler ave n,4
1371,200 block midler ave s,1
1372,200 block milburn dr,1
1373,200 block nb i 81 to eb i 690,1
1374,200 block nelson st,1
1375,200 block newell st,12
1376,200 block nichols ave,1
1377,200 block normanor dr,2
1378,200 block northcliffe rd,2
1379,200 block oak st,4
1380,200 block oakland st,18
1381,200 block onondaga creek blvd e,1
1382,200 block onondaga st,2
1383,200 block orlando ave,2
1384,200 block park st,4
1385,200 block parkside ave,1
1386,200 block parkway dr,2
1387,200 block paul ave,1
1388,200 block pebble hill rd n,1
1389,200 block plymouth dr,1
1390,200 block reed ave,3
1391,200 block richmond ave,1
1392,200 block robineau rd,1
1393,200 block rockland ave,1
1394,200 block roney rd,1
1395,200 block roxbury rd,1
1396,200 block salina st n,14
1397,200 block salina st s,13
1398,200 block salt springs rd,10
1399,200 block seneca tpke e,2
1400,200 block seymour st,10
1401,200 block sims dr,3
1402,200 block south ave,4
1403,200 block spring st,2
1404,200 block st louis ave,1
1405,200 block stafford ave,1
1406,200 block state st n,3
1407,200 block state st s,4
1408,200 block steuben st,3
1409,200 block stewart ct,1
1410,200 block sunnycrest rd,2
1411,200 block sunrise dr,2
1412,200 block swansea dr,1
1413,200 block teall ave,2
1414,200 block valley dr,2
1415,200 block vann st,3
1416,200 block village dr,2
1417,200 block vincent st,1
1418,200 block wainwright ave,1
1419,200 block walton st,1
1420,200 block washington st e,4
1421,200 block water st e,8
1422,200 block westminster ave,1
1423,200 block westmoreland ave,2
1424,200 block wolcott ave,2
1425,200 block wood ave,1
1426,300 block air cargo rd,1
1427,300 block ballantyne rd,30
1428,300 block beattie st,2
1429,300 block bellevue ave,1
1430,300 block benedict ave,1
1431,300 block berkshire ave,1
1432,300 block bissell st e,2
1433,300 block brampton rd,1
1434,300 block burnet ave,2
1435,300 block butternut st,2
1436,300 block caleb ave,1
1437,300 block cambridge st,1
1438,300 block cheltenham rd,1
1439,300 block clyde ave,1
1440,300 block collingwood ave n,1
1441,300 block colvin st,2
1442,300 block cook ave,2
1443,300 block corning ave,2
1444,300 block court st,7
1445,300 block eb i 690,6
1446,300 block edgehill rd,1
1447,300 block edwards ave s,1
1448,300 block erie blvd e,4
1449,300 block erie blvd w,3
1450,300 block fayette blvd,4
1451,300 block fayette st e,61
1452,300 block fenway dr,1
1453,300 block fernwood ave,1
1454,300 block forest ave,2
1455,300 block geddes st s,5
1456,300 block genesee park dr e,1
1457,300 block genesee st,12
1458,300 block genesee st e,19
1459,300 block gorland ave,7
1460,300 block grant blvd,6
1461,300 block green street pl,1
1462,300 block hawley ave,7
1463,300 block hillsdale ave,1
1464,300 block holland st,1
1465,300 block hudson st,4
1466,300 block intrepid ln,1
1467,300 block james st,12
1468,300 block john st,1
1469,300 block kappesser st,3
1470,300 block kenwood ave,1
1471,300 block lafayette ave,1
1472,300 block lancaster ave,3
1473,300 block lemoyne ave,1
1474,300 block lincoln ave,3
1475,300 block lodi st,7
1476,300 block marshall st,4
1477,300 block martin st,1
1478,300 block matson ave,2
1479,300 block mayar st,1
1480,300 block meadowbrook dr,1
1481,300 block midland ave,2
1482,300 block mildred ave,1
1483,300 block milford dr e,1
1484,300 block milford dr w,1
1485,300 block mosley dr,2
1486,300 block mountainview ave,1
1487,300 block nb west st to eb i 690 ramp,1
1488,300 block niven st,1
1489,300 block onondaga st,53
1490,300 block park st,6
1491,300 block parkway dr,1
1492,300 block plymouth dr,1
1493,300 block polk st,1
1494,300 block richmond ave,1
1495,300 block ridgeway ave,2
1496,300 block salina st n,10
1497,300 block salina st s,7
1498,300 block sherwood ave,1
1499,300 block south ave,4
1500,300 block spaulding ave,6
1501,300 block spring st,1
1502,300 block state st s,1
1503,300 block teall ave,2
1504,300 block valley dr,1
1505,300 block wb i 690,6
1506,300 block westmoreland ave,1
1507,300 block weymouth rd,1
1508,300 block wiman ave,1
1509,400 block aberdeen ter,1
1510,400 block ainsley dr,1
1511,400 block allen st,1
1512,400 block alvord st s,2
1513,400 block amherst ave,1
1514,400 block apple st,1
1515,400 block armstrong pl,1
1516,400 block arnett ave,1
1517,400 block arthur st,2
1518,400 block ash st,2
1519,400 block ballantyne rd,1
1520,400 block barnes ave,1
1521,400 block barrett st,1
1522,400 block bassett st,2
1523,400 block beattie st,2
1524,400 block beech st n,2
1525,400 block beech st s,1
1526,400 block beecher st,2
1527,400 block belden ave e,3
1528,400 block bellevue ave,2
1529,400 block berger ave,1
1530,400 block berkshire ave,1
1531,400 block borden ave,1
1532,400 block brighton pl,1
1533,400 block brooklea dr,1
1534,400 block brooklea pl,3
1535,400 block burnet ave,2
1536,400 block butternut st,2
1537,400 block cadwell st,1
1538,400 block calthrop ave,2
1539,400 block catawba st,1
1540,400 block catherine st,2
1541,400 block cayuga st,1
1542,400 block centennial dr,6
1543,400 block chaffee ave,1
1544,400 block chavez ter,2
1545,400 block cherry st,1
1546,400 block clarendon st,1
1547,400 block cleveland ave,2
1548,400 block columbus ave,1
1549,400 block colvin st,2
1550,400 block colvin st e,1
1551,400 block comstock ave,9
1552,400 block congress ave,1
1553,400 block conifer dr,1
1554,400 block constellation way n,1
1555,400 block coolidge ave,1
1556,400 block corning ave,1
1557,400 block cortland ave,1
1558,400 block court st,3
1559,400 block craddock st,1
1560,400 block croyden rd,2
1561,400 block davis st,3
1562,400 block delhi st,4
1563,400 block dewitt rd,1
1564,400 block dewitt st,2
1565,400 block dillaye ave,1
1566,400 block division st,1
1567,400 block dorchester ave,2
1568,400 block dorothy st,1
1569,400 block douglas st,6
1570,400 block durston ave,4
1571,400 block east ave,2
1572,400 block eb i 690,3
1573,400 block edna rd,1
1574,400 block edwards ave n,2
1575,400 block elk st,1
1576,400 block englewood ave,2
1577,400 block erie blvd e,9
1578,400 block erie blvd w,2
1579,400 block erie st,2
1580,400 block essex st,2
1581,400 block euclid ave,20
1582,400 block fairfield ave,1
1583,400 block fayette st,4
1584,400 block fayette st e,142
1585,400 block fellows ave,1
1586,400 block fenway dr,2
1587,400 block fillmore ave,1
1588,400 block fitch st,1
1589,400 block florence ave e,1
1590,400 block franklin st s,5
1591,400 block geddes st n,1
1592,400 block geddes st s,9
1593,400 block genesee st,10
1594,400 block genesee st e,9
1595,400 block gere ave,2
1596,400 block gifford st,1
1597,400 block gilbert ave,1
1598,400 block glenwood ave,1
1599,400 block grant blvd,4
1600,400 block grape ter,1
1601,400 block graves st,1
1602,400 block griffiths st,1
1603,400 block grumbach ave,2
1604,400 block hall ave,5
1605,400 block hamilton st,6
1606,400 block harborside dr,1
1607,400 block harding pl,1
1608,400 block harrison st,1
1609,400 block hartson st,1
1610,400 block harvard pl,1
1611,400 block hawley ave,4
1612,400 block hazelwood ave,3
1613,400 block herriman st,1
1614,400 block highland ave,9
1615,400 block highridge dr,1
1616,400 block hoefler st,1
1617,400 block hope ave,2
1618,400 block hurlburt rd,1
1619,400 block hutchinson ave,1
1620,400 block intrepid ln,3
1621,400 block james st,3
1622,400 block jasper st,1
1623,400 block jefferson st,2
1624,400 block jefferson st e,5
1625,400 block john st,1
1626,400 block kellogg st,1
1627,400 block kenmore ave,1
1628,400 block kennedy st e,1
1629,400 block kenwick dr,1
1630,400 block lafayette ave,1
1631,400 block lafayette rd,8
1632,400 block lakeview ave,2
1633,400 block latter dr,1
1634,400 block laurel st e,1
1635,400 block lemoyne ave,1
1636,400 block lilac st,1
1637,400 block lime st,1
1638,400 block lincoln ave,1
1639,400 block lincoln park dr,3
1640,400 block lodi st,10
1641,400 block lowell ave n,1
1642,400 block lowell ave s,2
1643,400 block luddington st,1
1644,400 block mains ave,1
1645,400 block mariposa st,1
1646,400 block markland ave,1
1647,400 block marlett st,1
1648,400 block martin luther king e,1
1649,400 block mary st,1
1650,400 block massena st,1
1651,400 block matson ave,1
1652,400 block mcbride st n,1
1653,400 block melrose ave,1
1654,400 block merrill st,2
1655,400 block midland ave,8
1656,400 block midler ave s,1
1657,400 block mildred ave,1
1658,400 block monticello dr n,3
1659,400 block mooney ave,1
1660,400 block morton st,1
1661,400 block mount olympus dr,4
1662,400 block myrtle st,1
1663,400 block newell st,1
1664,400 block nichols ave,1
1665,400 block norwood ave,2
1666,400 block oakley dr e,1
1667,400 block oneida st,2
1668,400 block park st,6
1669,400 block parkway dr,1
1670,400 block pattison st,1
1671,400 block polk st,1
1672,400 block pond st,1
1673,400 block remington ave,8
1674,400 block rich st,6
1675,400 block rigi ave,3
1676,400 block rockland ave,2
1677,400 block roosevelt ave,1
1678,400 block rugby rd,1
1679,400 block sabine st,3
1680,400 block sackett st,5
1681,400 block salina st s,22
1682,400 block schuyler st,1
1683,400 block scottholm ter,2
1684,400 block seeley rd,4
1685,400 block seneca tpke,2
1686,400 block seward st,2
1687,400 block sherbourne rd,1
1688,400 block shuart ave,1
1689,400 block solar st,3
1690,400 block south ave,7
1691,400 block spaid ave,1
1692,400 block springfield rd,1
1693,400 block stafford ave,1
1694,400 block state st n,3
1695,400 block state st s,6
1696,400 block stevens ave,1
1697,400 block stone ct,2
1698,400 block summit ave,3
1699,400 block sunnyside rd,2
1700,400 block sunset ave,2
1701,400 block thurber st,1
1702,400 block tompkins st,1
1703,400 block townsend st n,5
1704,400 block turtle st,1
1705,400 block twin hills dr,1
1706,400 block ulster st,1
1707,400 block university pl,1
1708,400 block valley dr,2
1709,400 block van buren st,8
1710,400 block van rensselaer st,1
1711,400 block village dr,2
1712,400 block wainwright ave,1
1713,400 block wall st,2
1714,400 block walnut pl,18
1715,400 block walton st,4
1716,400 block warham st,2
1717,400 block warner ave,1
1718,400 block warren st s,2
1719,400 block warrington rd,2
1720,400 block warrington rd e,2
1721,400 block washington st e,3
1722,400 block water st,2
1723,400 block water st e,1
1724,400 block wayne st,6
1725,400 block wb i 690,2
1726,400 block wellesley rd,1
1727,400 block west st n,1
1728,400 block west st s,1
1729,400 block westmoreland ave,10
1730,400 block westwood rd,1
1731,400 block wilbur ave n,1
1732,400 block wilkinson st,1
1733,400 block willow st,3
1734,400 block willumae dr,1
1735,400 block winthrop rd,4
1736,400 block woodlawn ter,1
1737,400 block wyoming st,1
1738,500 block adams st e,3
1739,500 block arnold ave,1
1740,500 block ashdale ave,2
1741,500 block ashworth pl,1
1742,500 block ballantyne rd,2
1743,500 block barrett st,1
1744,500 block beattie st,1
1745,500 block beecher st,1
1746,500 block belle ave,1
1747,500 block bellevue ave,6
1748,500 block borden ave,3
1749,500 block brampton rd,1
1750,500 block brighton ave,3
1751,500 block bruce st,2
1752,500 block buckingham ave,2
1753,500 block burnet ave,2
1754,500 block burns ave,1
1755,500 block calthrop ave,2
1756,500 block carbon st,2
1757,500 block clarendon st,1
1758,500 block cleveland ave,1
1759,500 block clover ridge dr,4
1760,500 block coleridge ave,1
1761,500 block collingwood ave n,1
1762,500 block collingwood ave s,9
1763,500 block colvin st,1
1764,500 block colvin st e,1
1765,500 block corning ave,1
1766,500 block crawford ave,1
1767,500 block crippen ave,5
1768,500 block croly st,3
1769,500 block croyden rd,2
1770,500 block dale st,3
1771,500 block delaware st,1
1772,500 block delhi st,1
1773,500 block dewitt st,1
1774,500 block dorchester ave,1
1775,500 block dorothy st,2
1776,500 block duane st,2
1777,500 block edgemont dr,1
1778,500 block edwards ave n,1
1779,500 block elizabeth st,1
1780,500 block empire ave,3
1781,500 block erie blvd e,16
1782,500 block erie st,1
1783,500 block evaleen ave,12
1784,500 block fayette st,9
1785,500 block fayette st e,3
1786,500 block fellows ave,1
1787,500 block ferndale dr,1
1788,500 block fitch st,10
1789,500 block fobes ave,8
1790,500 block forest hill dr,1
1791,500 block furman st,6
1792,500 block garfield ave,1
1793,500 block geddes st s,1
1794,500 block genesee st,5
1795,500 block genesee st e,13
1796,500 block gertrude st,1
1797,500 block glen ave,1
1798,500 block glenwood ave,2
1799,500 block grand ave,1
1800,500 block grant blvd,16
1801,500 block greenwood pl,1
1802,500 block grumbach ave,3
1803,500 block hall ave,1
1804,500 block harrison st,6
1805,500 block hayden ave,1
1806,500 block herald pl,3
1807,500 block herriman st,3
1808,500 block hickok ave,2
1809,500 block hier ave,4
