,Address,Fire alarm
922,1330 BUTTERNUT St,1
923,1330 E WASHINGTON St,2
924,1330 W ONONDAGA St,1
925,1334 NORTHCLIFFE Rd,1
926,134 DALE St,1
927,134 ERICKSON St,1
928,134 GENESEE PARK Dr,1
929,134 GERTRUDE St,1
930,134 HEADSON Dr,1
931,134 JOHN St,1
932,134 KIDD Ave,1
933,134 KIDD Ave E,1
934,134 LAFAYETTE Rd,1
935,134 LYNWOOD Ave,1
936,134 MAPLEHURST Ave,1
937,134 MAPLEWOOD Ave,1
938,134 N GEDDES St,2
939,134 WAINWRIGHT Ave,1
940,1340 E WATER St,1
941,1343 OAK St,1
942,1345 BUTTERNUT St,1
943,135 CAMP Ave,1
944,135 E WATER St,1
945,135 FENWAY Dr,2
946,135 N MIDLER Ave,1
947,135 STEWART Ct,1
948,135 VILLAGE Dr,2
949,135 W BEARD Ave,1
950,135 W CORNING Ave,1
951,135 WESTMINSTER Ave,1
952,135 WOOD Ave,1
953,1351 BURNET Ave,2
954,1352 TEALL Ave,1
955,136 BASSETT St,1
956,136 BERGER Ave,1
957,136 BEVERLY Rd,1
958,136 CRESTVIEW Dr,1
959,136 E GENESEE St,9
960,136 FERNWOOD Ave,1
961,136 FOREST Ave,1
962,136 HALL Ave,1
963,136 W MATSON Ave,1
964,136 WALTON St,1
965,1361 TEALL Ave,1
966,137 E WATER St,6
967,137 ELMWOOD Ave,1
968,137 JACLYN Dr,1
969,137 NELSON St,1
970,137 PARKWAY Dr,1
971,137 ROCKLAND Ave,1
972,137 ST LOUIS Ave,1
973,137 WOLCOTT Ave,2
974,1370 BURNET Ave,1
975,1372 EB I 690,1
976,138 BERKSHIRE Ave,1
977,138 DABLON Ct,1
978,138 DUKE Dr,1
979,138 LAKEVIEW Ave,1
980,138 LAWRENCE St,1
981,138 LYNWOOD Ave,1
982,138 N MIDLER Ave,2
983,138 PAUL Ave,1
984,138 REED Ave,1
985,139 CUMBERLAND Ave,1
986,139 DABLON Ct,1
987,139 E MATSON Ave,1
988,139 HOPE Ave,1
989,139 HUNTLEY St,1
990,139 JOHN St,1
991,139 N GEDDES St,3
992,139 NORMANOR Dr,1
993,1390 EB I 690,1
994,14 CENTENNIAL Dr,4
995,14 NB I 81 TO EB I 690,1
996,140 BERKSHIRE Ave,1
997,140 E BRIGHTON Ave,1
998,140 E SENECA Tpke,2
999,140 HIAWATHA Pl,1
1000,140 HIGHLAND Ave,1
1001,140 LAKEVIEW Ave,1
1002,140 MANOR Dr,3
1003,140 MARY St,1
1004,140 ONONDAGA CREEK Blvd E,1
1005,1400 IVY RIDGE Rd,1
1006,1400 N SALINA St,6
1007,1400BLK BUTTERNUT St,1
1008,1401 E FAYETTE St,1
1009,1403 FIRST NORTH St,1
1010,1403 PARK St,1
1011,1405 FIRST NORTH St,2
1012,1405 PARK St,1
1013,1405 VALLEY Dr,1
1014,1407 BUTTERNUT St,1
1015,1407 LANCASTER Ave,1
1016,1407 OAK St,1
1017,1408 E WASHINGTON St,2
1018,1409 GRANT Blvd,1
1019,1409 PARK St,1
1020,141 BUCKINGHAM Ave,1
1021,141 CROUSE Dr,4
1022,141 E CALTHROP Ave,1
1023,141 HOEFLER St,1
1024,141 STEUBEN St,1
1025,141 W NEWELL St,11
1026,1410 S SALINA St,2
1027,1410 VALLEY Dr,1
1028,1410 W ONONDAGA St,1
1029,1412 BURNET Ave,1
1030,1412 SPRING St,2
1031,1414 SALT SPRINGS Rd,7
1032,1415 E FAYETTE St,1
1033,1415 OAK St,1
1034,1415 SOUTH Ave,1
1035,1416 SOUTH Ave,1
1036,1417 LANCASTER Ave,1
1037,1418 MIDLAND Ave,1
1038,1419 NORTHCLIFFE Rd,1
1039,142 ERICKSON St,1
1040,142 FAYETTE Blvd,1
1041,142 GREENLAND Dr,1
1042,142 OAKLAND St,18
1043,142 ORLANDO Ave,1
1044,1421 LODI St,1
1045,1422 LODI St,1
1046,1423 E FAYETTE St,1
1047,1424 N STATE St,1
1048,1426 N SALINA St,3
1049,1427 MEADOWBROOK Dr,2
1050,1428 LODI St,1
1051,1429 SALT SPRINGS Rd,1
1052,143 BRIGGS St,1
1053,143 GRACE St,1
1054,143 MARY St,16
1055,143 ROBINEAU Rd,1
1056,143 S COLLINGWOOD Ave,1
1057,143 STEUBEN St,2
1058,143 W BRIGHTON Ave,1
1059,1430 SUNNYCREST Rd,2
1060,1431 N SALINA St,1
1061,1431 S SALINA St,1
1062,1431 SALT SPRINGS Rd,1
1063,1432 LODI St,1
1064,1433 ERIE Blvd E,1
1065,1434 LODI St,1
1066,1434 MIDLAND Ave,1
1067,1435 MIDLAND Ave,1
1068,1437 LANCASTER Ave,1
1069,144 FELLOWS Ave,1
1070,144 KAPPESSER St,1
1071,144 LUDDINGTON St,1
1072,144 NICHOLS Ave,1
1073,144 PARKSIDE Ave,1
1074,144 S MIDLER Ave,1
1075,144 SUNRISE Dr,2
1076,144 W CALTHROP Ave,1
1077,1442 EB I 690,1
1078,1445 BURNET Ave,1
1079,1445 S SALINA St,9
1080,1449 ERIE Blvd E,1
1081,145 RONEY Rd,1
1082,1450 S STATE St,1
1083,146 BROOKLEA Pl,5
1084,146 HOPE Ave,2
1085,146 LAKEVIEW Ave,1
1086,146 MCLENNAN Ave,2
1087,146 S COLLINGWOOD Ave,1
1088,1469 COMSTOCK Ave,1
1089,147 BERTRAM Pl,3
1090,147 HAROLD St,1
1091,147 MARSHALL St,1
1092,147 OAK St,1
1093,147 VANN St,3
1094,148 BERKSHIRE Ave,1
1095,148 GIFFORD St,1
1096,148 MAPLE Ter,1
1097,148 MAXWELL Ave,2
1098,148 N MIDLER Ave,1
1099,1482 S STATE St,3
1100,149 DAWES Ave,1
1101,149 REED Ave,2
1102,149 STAFFORD Ave,1
1103,149 VINCENT St,1
1104,1498 EB I 690,1
1105,15 CENTENNIAL Dr,5
1106,15 KINGSLEY Pl,1
1107,15 PEBBLE HILL Rd N,1
1108,150 CROUSE Dr,17
1109,150 E CHELTENHAM Rd,1
1110,150 HENRY St,91
1111,150 MANOR Dr,1
1112,150 MARSHALL St,1
1113,150 SIMS Dr,3
1114,1500 PARK St,1
1115,1501 GRANT Blvd,1
1116,1501 LEMOYNE Ave,1
1117,1505 EUCLID Ave,1
1118,1505 S GEDDES St,2
1119,1506 S GEDDES St,2
1120,1507 MEADOWBROOK Dr,2
1121,1508 LODI St,1
1122,1509 N SALINA St,2
1123,1509 N STATE St,1
1124,151 ARSENAL Dr,2
1125,151 AVON Rd,1
1126,151 BALLANTYNE Rd,1
1127,151 DIDAMA St,2
1128,151 INTREPID Ln,1
1129,151 NORMANOR Dr,1
1130,151 PLYMOUTH Dr,1
1131,1510 N SALINA St,1
1132,1510 W GENESEE St,1
1133,1511 FIRST NORTH St,1
1134,1511 N STATE St,1
1135,1512 FIRST NORTH St,1
1136,1513 W GENESEE St,1
1137,1514 ERIE Blvd E,15
1138,1514 LODI St,1
1139,152 BAKER Ave,1
1140,152 BALDWIN Ave,1
1141,152 DARLINGTON Rd,1
1142,152 DAWES Ave,1
1143,152 FERNWOOD Ave,1
1144,152 HASTINGS Pl,1
1145,152 LILAC St,1
1146,152 RICHMOND Ave,1
1147,152 W NEWELL St,1
1148,1521 N SALINA St,1
1149,1523 BURNET Ave,1
1150,1524 S SALINA St,1
1151,1525 LANCASTER Ave,1
1152,1526 BUTTERNUT St,1
1153,1528 LEMOYNE Ave,2
1154,153 BALLANTYNE Rd,2
1155,153 HAZELHURST Ave,1
1156,153 HOPE Ave,1
1157,153 JOHN St,1
1158,153 MERRITT Ave,2
1159,153 MILBURN Dr,1
1160,153 SEYMOUR St,7
1161,153 SOUTH Ave,1
1162,1530 E GENESEE St,8
1163,1530 SOUTH Ave,1
1164,154 FISCOE Ave,2
1165,154 HUDSON St,1
1166,154 SEYMOUR St,3
1167,1540 MIDLAND Ave,1
1168,1545 SALT SPRINGS Rd,1
1169,155 BALLANTYNE Rd,1
1170,155 E BISSELL St,1
1171,155 GIFFORD St,5
1172,155 ORLANDO Ave,1
1173,155 PARKWAY Dr,1
1174,1555 LANCASTER Ave,1
1175,156 BALLANTYNE Rd,2
1176,156 FERNWOOD Ave,1
1177,156 KUHL Ave,1
1178,156 MAPLEWOOD Ave,1
1179,157 BALLANTYNE Rd,1
1180,157 FELLOWS Ave,1
1181,157 ROXBURY Rd,1
1182,1573 LEMOYNE Ave,2
1183,1579 WESTMORELAND Ave,2
1184,158 CHARMOUTH Dr,1
1185,158 GREENLAND Dr,1
1186,158 HIGHLAND Ave,1
1187,158 SWANSEA Dr,1
1188,1589 LANCASTER Ave,3
1189,159 BALLANTYNE Rd,18
1190,159 E BISSELL St,1
1191,159 EDGEHILL Rd,1
1192,159 HOLLAND St,1
1193,159 KAPPESSER St,3
1194,159 WEYMOUTH Rd,1
1195,159-161 BALLANTYNE Rd,1
1196,16 NB WEST ST TO EB I 690 Ramp,1
1197,160 HILLSDALE Ave,1
1198,160 PLYMOUTH Dr,1
1199,1600 LODI St,1
1200,1601 E FAYETTE St,1
1201,1601 HAWLEY Ave,1
1202,1601 W GENESEE St,3
1203,1603 COURT St,1
1204,1603 S SALINA St,1
1205,1605 PARK St,1
1206,1606 PARK St,1
1207,1607 GRANT Blvd,2
1208,1607 S GEDDES St,2
1209,1607 TEALL Ave,1
1210,1608 LODI St,1
1211,1608 WESTMORELAND Ave,1
1212,1609 N SALINA St,1
1213,1609 W GENESEE St,1
1214,161 BALLANTYNE Rd,8
1215,161 INTREPID Ln,1
1216,161 MILDRED Ave,1
1217,161 MILFORD Dr E,1
1218,161 MILFORD Dr W,1
1219,161 N COLLINGWOOD Ave,1
1220,161 NIVEN St,1
1221,161 S EDWARDS Ave,1
1222,1610 S GEDDES St,2
1223,1611 N SALINA St,3
1224,1612 BUTTERNUT St,1
1225,1612 W GENESEE St,1
1226,1613 JAMES St,8
1227,1614 PARK St,1
1228,1614 SOUTH Ave,1
1229,1615 N SALINA St,1
1230,1615 W GENESEE St,1
1231,1616 BURNET Ave,1
1232,1616 GRANT Blvd,3
1233,1617 COURT St,2
1234,1617 E GENESEE St,1
1235,1617 W COLVIN St,1
1236,1618 PARK St,1
1237,1619 E FAYETTE St,1
1238,162 POLK St,1
1239,1620 HAWLEY Ave,1
1240,1620 W GENESEE St,2
1241,1621 E GENESEE St,6
1242,1621 HAWLEY Ave,1
1243,1621 LEMOYNE Ave,1
1244,1621 SPRING St,1
1245,1623 E FAYETTE St,1
1246,1624 HAWLEY Ave,1
1247,1624 W GENESEE St,1
1248,1625 ERIE Blvd E,1
1249,1626 HAWLEY Ave,1
1250,1626 N SALINA St,1
1251,1627 E GENESEE St,9
1252,1628 ERIE Blvd E,1
1253,1629 MIDLAND Ave,1
1254,1629 N SALINA St,1
1255,163 MOSLEY Dr,2
1256,163 W CHELTENHAM Rd,1
1257,163 W MATSON Ave,1
1258,163-165 BALLANTYNE Rd,1
1259,1631 HAWLEY Ave,1
1260,1632 HAWLEY Ave,1
1261,1637 N SALINA St,1
1262,164 BERKSHIRE Ave,1
1263,164 GORLAND Ave,5
1264,164 MAYAR St,1
1265,164 RICHMOND Ave,1
1266,1640 SOUTH Ave,2
1267,1641 E GENESEE St,3
1268,1642 EB I 690,1
1269,1648 VALLEY Dr,1
1270,165 BALLANTYNE Rd,2
1271,165 COOK Ave,1
1272,165 JOHN St,1
1273,165 KENWOOD Ave,1
1274,1654 W ONONDAGA St,9
1275,1657 W ONONDAGA St,1
1276,166 COURT St,1
1277,1663 W COLVIN St,1
1278,167 CAMBRIDGE St,1
1279,167 MARSHALL St,3
1280,1675 WB I 690,1
1281,168 GORLAND Ave,2
1282,168 LINCOLN Ave,2
1283,168 PARKWAY Dr,1
1284,168 SHERWOOD Ave,1
1285,168 SPAULDING Ave,5
1286,169 FOREST Ave,2
1287,169 GREEN STREET Pl,1
1288,1694 WB I 690,1
1289,1695 EB I 690,1
1290,1698 EB I 690,1
1291,170 BEATTIE St,1
1292,170 E BISSELL St,1
1293,170 MARTIN St,1
1294,1700 W GENESEE St,1
1295,1700 W ONONDAGA St,38
1296,1700BLK COURT St,1
1297,1701 ERIE Blvd E,1
1298,1701 MEADOWBROOK Dr,1
1299,1701 N SALINA St,1
1300,1702 E FAYETTE St,1
1301,1703 PARK St,2
1302,1704 S SALINA St,4
1303,1705 COURT St,1
1304,1709 S GEDDES St,1
1305,1709 S SALINA St,1
1306,171 SPAULDING Ave,1
1307,1710 N SALINA St,1
1308,1711 W ONONDAGA St,1
1309,1715 BELLEVUE Ave,1
1310,1718 GRANT Blvd,1
1311,1718 JAMES St,1
1312,172 CLYDE Ave,1
1313,1721 S STATE St,1
1314,1723 BUTTERNUT St,1
1315,1723 EB I 690,1
1316,1724 JAMES St,2
1317,1725 S SALINA St,1
1318,1728 BURNET Ave,1
1319,1729 ERIE Blvd E,1
1320,173 COOK Ave,1
1321,173 FERNWOOD Ave,1
1322,1737 EB I 690,1
1323,174 BEATTIE St,1
1324,1741 W ONONDAGA St,4
1325,175 HUDSON St,4
1326,1751 WB I 690,1
1327,176 AIR CARGO Rd,1
1328,176 E GENESEE PARK Dr,1
1329,176 MOUNTAINVIEW Ave,1
1330,176 WIMAN Ave,1
1331,177 FAYETTE Blvd,3
1332,177 MARSHALL St,1
1333,177 RIDGEWAY Ave,1
1334,1785 EB I 690,1
1335,179 LINCOLN Ave,1
1336,179 RIDGEWAY Ave,1
1337,179 W LAFAYETTE Ave,1
1338,1795 WB I 690,2
1339,180 BENEDICT Ave,1
1340,180 W CORNING Ave,2
1341,180 W MATSON Ave,1
1342,1800 CALEB Ave,1
1343,1801 LODI St,1
1344,1801 SOUTH Ave,1
1345,1802 W GENESEE St,1
1346,1804 LODI St,2
1347,1804 TEALL Ave,1
1348,1805 COURT St,1
1349,1805 JAMES St,1
1350,1807 ERIE Blvd W,3
1351,1807 WB I 690,1
1352,1808 LODI St,1
1353,1809 E FAYETTE St,15
1354,181 BRAMPTON Rd,1
1355,181 FAYETTE Blvd,1
1356,181 FENWAY Dr,1
1357,1810 LODI St,1
1358,1810 MIDLAND Ave,1
1359,1810 W GENESEE St,1
1360,1811 E FAYETTE St,42
1361,1813 E FAYETTE St,10
1362,1815 COURT St,1
1363,1815 E FAYETTE St,15
1364,1816 MIDLAND Ave,3
1365,1817 S STATE St,1
1366,1818 S SALINA St,10
1367,1818.5 S SALINA St,3
1368,1820 EB I 690,1
1369,1821 S STATE St,1
1370,1822 W COLVIN St,1
1371,1826 GRANT Blvd,1
1372,1828 SOUTH Ave,1
1373,1829 BURNET Ave,1
1374,183 CHAFFEE Ave,1
1375,183 INTREPID Ln,1
1376,1832 EB I 690,1
1377,184 HOPE Ave,1
1378,184 REMINGTON Ave,8
1379,1843 BUTTERNUT St,2
1380,1849 GRANT Blvd,1
1381,185 AINSLEY Dr,1
1382,185 HARDING Pl,1
1383,1855 W FAYETTE St,1
1384,1860 ERIE Blvd E,2
1385,1862 BELLEVUE Ave,1
1386,188 HALL Ave,2
1387,1887 WB I 690,1
1388,19 CENTENNIAL Dr,1
1389,19 HARBORSIDE Dr,1
1390,19 STONE Ct,1
1391,190 INTREPID Ln,1
1392,1901 COURT St,1
1393,1901 E FAYETTE St,13
1394,1901 E GENESEE St,1
1395,1901 GLENWOOD Ave,1
1396,1903 E FAYETTE St,5
1397,1904 EUCLID Ave,1
1398,1904 JAMES St,1
1399,1904 LODI St,1
1400,1905 EB I 690,1
1401,1905 LODI St,1
1402,1907 W GENESEE St,1
1403,1907 WB I 690,1
1404,1908 W GENESEE St,7
1405,1909 BELLEVUE Ave,1
1406,1909 E FAYETTE St,1
1407,191 INTREPID Ln,1
1408,1912 LODI St,1
1409,1912 S STATE St,1
1410,1912 W GENESEE St,1
1411,1915 ERIE Blvd E,2
1412,1918 E FAYETTE St,1
1413,1922 SOUTH Ave,2
1414,1929 E GENESEE St,1
1415,193 DURSTON Ave,4
1416,193 SPAID Ave,1
1417,1937 MIDLAND Ave,1
1418,1938 E FAYETTE St,2
1419,1941 S SALINA St,3
1420,196 BERGER Ave,1
1421,1970 W FAYETTE St,1
1422,198 BALLANTYNE Rd,1
1423,2 CENTENNIAL Dr,1
1424,20 CENTENNIAL Dr,3
1425,200 CATHERINE St,1
1426,200 CONSTELLATION Way N,1
1427,200 CORTLAND Ave,1
1428,200 E WARRINGTON Rd,1
1429,200 ENGLEWOOD Ave,1
1430,200 GIFFORD St,1
1431,200 HARRISON St,1
1432,200 HURLBURT Rd,1
1433,200 LIME St,1
1434,200 MOUNT OLYMPUS Dr,4
1435,200 N GEDDES St,1
1436,200 N STATE St,2
1437,200 N TOWNSEND St,1
1438,200 RIGI Ave,2
1439,200 S GEDDES St,6
1440,200 S LOWELL Ave,1
1441,200 SHERBOURNE Rd,1
1442,200 WALTON St,2
1443,200 WARNER Ave,1
1444,200 WESTWOOD Rd,1
1445,200 WILLUMAE Dr,1
1446,200 WYOMING St,1
1447,2000 LODI St,2
1448,2002 EUCLID Ave,1
1449,2002 SOUTH Ave,1
1450,2003 E FAYETTE St,6
1451,2004 ERIE Blvd W,1
1452,2005 E FAYETTE St,59
1453,2005 W GENESEE St,1
1454,2008 JAMES St,1
1455,200BLK DAVIS St,1
1456,200BLK KENMORE Ave,1
1457,200BLK MOONEY Ave,1
1458,200BLK ONEIDA St,1
1459,200BLK S SALINA St,1
1460,200BLK S WARREN St,1
1461,200BLK WELLESLEY Rd,1
1462,201 ABERDEEN Ter,1
1463,201 ARMSTRONG Pl,1
1464,201 BROOKLEA Dr,1
1465,201 BROOKLEA Pl,2
1466,201 COMSTOCK Ave,1
1467,201 E JEFFERSON St,4
1468,201 E WASHINGTON St,3
1469,201 EUCLID Ave,18
1470,201 FENWAY Dr,1
1471,201 GRUMBACH Ave,1
1472,201 HAMILTON St,6
1473,201 HOEFLER St,1
1474,201 KELLOGG St,1
1475,201 POND St,1
1476,201 S FRANKLIN St,5
1477,201 S STATE St,2
1478,201 S WARREN St,1
1479,201 S WEST St,1
1480,201 SEELEY Rd,4
1481,201 SOLAR St,2
1482,201 SOUTH Ave,1
1483,201 SUNNYSIDE Rd,2
1484,201 ULSTER St,1
1485,201 W BORDEN Ave,1
1486,201 W COLVIN St,1
1487,201 W WILLOW St,3
1488,201 WESTMORELAND Ave,4
1489,2010 ERIE Blvd W,1
1490,2011 LODI St,2
1491,2013 E GENESEE St,1
1492,2015 ERIE Blvd E,1
1493,202 E BELDEN Ave,3
1494,202 HUTCHINSON Ave,1
1495,202 LAFAYETTE Rd,1
1496,202 MAINS Ave,1
1497,202 MARIPOSA St,1
1498,202 MARKLAND Ave,1
1499,202 N BEECH St,1
1500,202 SACKETT St,2
1501,202 VAN RENSSELAER St,1
1502,202 W WARRINGTON Rd,1
1503,202 WALTON St,2
1504,2022 S SALINA St,1
1505,2026 MIDLAND Ave,1
1506,2027 E GENESEE St,1
1507,2028 LODI St,2
1508,2028 PARK St,3
1509,2029 VALLEY Dr,1
1510,203 ALLEN St,1
1511,203 BEECHER St,1
1512,203 DAVIS St,1
1513,203 DILLAYE Ave,1
1514,203 E WATER St,1
1515,203 FENWAY Dr,1
1516,203 HAWLEY Ave,4
1517,203 LATTER Dr,1
1518,203 LINCOLN PARK Dr,1
1519,203 N EDWARDS Ave,2
1520,203 NICHOLS Ave,1
1521,203 SPRINGFIELD Rd,1
1522,203 SUMMIT Ave,2
1523,203 WALL St,1
1524,203 WESTMORELAND Ave,6
1525,2030 E GENESEE St,2
1526,2037 E GENESEE St,1
1527,2039 E GENESEE St,1
1528,204 CATHERINE St,1
1529,204 COLUMBUS Ave,1
1530,204 DELHI St,1
1531,204 HALL Ave,1
1532,204 HAZELWOOD Ave,1
1533,204 HERRIMAN St,1
1534,204 MORTON St,1
1535,204 MYRTLE St,1
1536,204 N BEECH St,1
1537,204 N TOWNSEND St,1
1538,204 RICH St,2
1539,204 ROOSEVELT Ave,1
1540,204 SOUTH Ave,2
1541,204 STEVENS Ave,1
1542,204 SUMMIT Ave,1
1543,2040 LODI St,1
1544,2041 VALLEY Dr,1
1545,205 ARTHUR St,2
1546,205 CADWELL St,1
1547,205 CHERRY St,1
1548,205 CONIFER Dr,1
1549,205 ELK St,1
1550,205 ESSEX St,1
1551,205 HARVARD Pl,1
1552,205 MELROSE Ave,1
1553,205 N TOWNSEND St,2
1554,205 N WEST St,1
1555,205 RIGI Ave,1
1556,205 RUGBY Rd,1
1557,205 S SALINA St,2
1558,205 WARHAM St,1
1559,206 CHAVEZ Ter,1
1560,206 CLEVELAND Ave,1
1561,206 COMSTOCK Ave,2
1562,206 DELHI St,1
1563,206 DORCHESTER Ave,1
1564,206 E KENNEDY St,1
1565,206 EAST Ave,1
1566,206 FAIRFIELD Ave,1
1567,206 W CORNING Ave,1
1568,206 W MATSON Ave,1
1569,206 W NEWELL St,1
1570,206 WALNUT Pl,5
1571,207 BROOKLEA Pl,1
1572,207 COMSTOCK Ave,2
1573,207 DELHI St,1
1574,207 GRUMBACH Ave,1
1575,207 HIGHLAND Ave,4
1576,207 LUDDINGTON St,1
1577,207 MARLETT St,1
1578,207 MARY St,1
1579,207 S BEECH St,1
1580,207 W LAFAYETTE Ave,1
1581,208 BARRETT St,1
1582,208 EDNA Rd,1
1583,208 FILLMORE Ave,1
1584,208 KENWICK Dr,1
1585,208 MASSENA St,1
1586,208 SUNSET Ave,2
1587,208 WALNUT Pl,10
1588,2083 PARK St,1
1589,2085 PARK St,1
1590,209 ARNETT Ave,1
1591,209 BEECHER St,1
1592,209 DELHI St,1
1593,209 DEWITT Rd,1
1594,209 E FLORENCE Ave,1
1595,209 E WARRINGTON Rd,1
1596,209 GERE Ave,1
1597,209 GRIFFITHS St,1
1598,209 HALL Ave,2
1599,209 LEMOYNE Ave,1
1600,209 S LOWELL Ave,1
1601,209 STAFFORD Ave,1
1602,209 VILLAGE Dr,1
1603,209 WARHAM St,1
1604,21 CENTENNIAL Dr,1
1605,21 STONE Ct,1
1606,210 BARNES Ave,1
1607,210 CHAVEZ Ter,1
1608,210 COMSTOCK Ave,4
1609,210 DAVIS St,1
1610,210 E COLVIN St,1
1611,210 ERIE St,1
1612,210 ESSEX St,1
1613,210 FELLOWS Ave,1
1614,210 GERE Ave,1
1615,210 GRAVES St,1
1616,210 LILAC St,1
1617,210 LINCOLN Ave,1
1618,210 LINCOLN PARK Dr,2
1619,210 MERRILL St,1
1620,210 N MCBRIDE St,1
1621,210 PARKWAY Dr,1
1622,210 POLK St,1
1623,210 S ALVORD St,1
1624,210 SACKETT St,1
1625,210 SCOTTHOLM Ter,1
1626,210 SEWARD St,1
1627,210 W DIVISION St,1
1628,210 WALNUT Pl,3
1629,210 WAYNE St,6
1630,210 WINTHROP Rd,4
1631,2100 E FAYETTE St,3
1632,2100 PARK St,1
1633,2101 BRIGHTON Pl,1
1634,2101 S STATE St,1
1635,2102 MIDLAND Ave,1
1636,2109 ERIE Blvd E,2
1637,2109 JAMES St,1
1638,211 AMHERST Ave,1
1639,211 APPLE St,1
1640,211 ASH St,2
1641,211 BEATTIE St,1
1642,211 BERKSHIRE Ave,1
1643,211 COOLIDGE Ave,1
1644,211 COURT St,1
1645,211 CROYDEN Rd,2
1646,211 ERIE St,1
1647,211 HARTSON St,1
1648,211 LAFAYETTE Rd,7
1649,211 MARTIN LUTHER KING E,1
1650,211 N WILBUR Ave,1
1651,211 S MIDLER Ave,1
1652,211 SABINE St,2
1653,211 SACKETT St,2
1654,211 SCHUYLER St,1
1655,211 TOMPKINS St,1
1656,211 W JEFFERSON St,2
1657,211 WAINWRIGHT Ave,1
1658,211 WALL St,1
1659,211 WILKINSON St,1
1660,2111 S SALINA St,1
1661,2112 ERIE Blvd E,2
1662,2115 MIDLAND Ave,1
1663,2118 E GENESEE St,1
1664,2119 E FAYETTE St,19
1665,212 CAYUGA St,1
1666,212 CRADDOCK St,1
1667,212 DORCHESTER Ave,1
1668,212 DOROTHY St,1
1669,212 EAST Ave,1
1670,212 ENGLEWOOD Ave,1
1671,212 GILBERT Ave,1
1672,212 LAKEVIEW Ave,2
1673,212 MONTICELLO Dr N,3
1674,212 N TOWNSEND St,1
1675,212 ROCKLAND Ave,2
1676,212 TURTLE St,1
1677,212 VAN BUREN St,8
1678,212 W CALTHROP Ave,2
1679,212 W SENECA Tpke,2
1680,2121 E FAYETTE St,8
1681,2126 GRANT Blvd,2
1682,213 BEATTIE St,1
1683,213 CONGRESS Ave,1
1684,213 DEWITT St,2
1685,213 DOUGLAS St,6
1686,213 E LAUREL St,1
1687,213 HIGHLAND Ave,5
1688,213 HIGHRIDGE Dr,1
1689,213 JOHN St,1
1690,213 MILDRED Ave,1
1691,213 N LOWELL Ave,1
1692,213 ONEIDA St,1
1693,213 S SALINA St,1
1694,213 SABINE St,1
1695,213 SHUART Ave,1
1696,213 TWIN HILLS Dr,1
1697,213 W WARRINGTON Rd,1
1698,213 WOODLAWN Ter,1
1699,214 CLARENDON St,1
1700,214 CLEVELAND Ave,1
1701,214 FITCH St,1
1702,214 HAZELWOOD Ave,2
1703,214 HOPE Ave,1
1704,214 OAKLEY Dr E,1
1705,214 PATTISON St,1
1706,214 S ALVORD St,1
1707,214 SCOTTHOLM Ter,1
1708,214 THURBER St,1
1709,214 W SOLAR St,1
1710,214 W WATER St,2
1711,2140 S GEDDES St,1
1712,215 BASSETT St,2
1713,215 BURNET Ave,1
1714,215 CATAWBA St,1
1715,215 E JEFFERSON St,1
1716,215 GRAPE Ter,1
1717,215 JASPER St,1
1718,215 MERRILL St,1
1719,215 MIDLAND Ave,1
1720,215 N STATE St,1
1721,215 NORWOOD Ave,2
1722,215 RICH St,4
1723,215 SEWARD St,1
1724,215 UNIVERSITY Pl,1
1725,215 VILLAGE Dr,1
1726,215 W FAYETTE St,2
1727,2150 S GEDDES St,2
1728,216 BELLE Ave,1
1729,216 BURNET Ave,2
1730,216 COLERIDGE Ave,1
1731,216 CROYDEN Rd,1
1732,216 DORCHESTER Ave,1
1733,216 GERTRUDE St,1
1734,216 MAPLEHURST Ave,1
1735,216 MAY Ave,1
1736,216 PALMER Ave,1
1737,216 REED Ave,1
1738,216 WALTON St,1
1739,217 DUANE St,1
1740,217 FERNDALE Dr,1
1741,217 MILFORD Dr E,1
1742,217 W BRIGHTON Ave,1
1743,217 W COLVIN St,1
1744,217 WEBSTER Ave,2
1745,218 CARBON St,1
1746,218 CRIPPEN Ave,2
1747,218 DOROTHY St,1
1748,218 DUANE St,1
1749,218 E COLVIN St,1
1750,218 MAGNOLIA St,2
1751,218 MERRIMAN Ave,2
1752,218 MILFORD Dr E,1
1753,218 WEBSTER Ave,2
1754,219 BRUCE St,1
1755,219 CLARENDON St,1
1756,219 ELIZABETH St,1
1757,219 LAMSON St,1
1758,219 MARGUERITE Ave,1
1759,219 MATHER St,1
1760,219 PARKWAY Dr,1
1761,219 PATTISON St,1
1762,219 S WEST St,7
1763,219 SABINE St,1
1764,219 SHIRLEY Dr,1
1765,219 TENNYSON Ave,1
1766,219 VALLEY Dr,1
1767,219 W CORNING Ave,1
1768,220 BALLANTYNE Rd,2
1769,220 EMPIRE Ave,1
1770,220 ERIE St,1
1771,220 HERALD Pl,2
1772,220 HICKOK Ave,1
1773,220 HIER Ave,1
1774,220 HOPE Ave,1
1775,220 LILAC St,1
1776,220 MIDLAND Ave,2
1777,220 S WARREN St,8
1778,220 W KENNEDY St,3
1779,2200 BELLEVUE Ave,2
1780,2200 ONONDAGA CREEK Blvd,2
1781,2202 MIDLAND Ave,1
1782,2205 JAMES St,1
1783,2209 LODI St,2
1784,2209 N LODI St,1
1785,221 BARRETT St,1
1786,221 DOROTHY St,1
1787,221 GRUMBACH Ave,1
1788,221 HERALD Pl,1
1789,221 HERRIMAN St,1
