,Address,Fire alarm
208,104 OAK Pl,2
209,104 RIDER Ave,1
210,104 RONEY Ln,7
211,104 SHELBOURNE Pl,1
212,104 SMITH Ln,2
213,104 ST LOUIS Ave,1
214,104 UNION Ave,6
215,104 WOODBINE Ave,1
216,1043 ERIE Blvd E,1
217,1044 BELLEVUE Ave,1
218,1045 JAMES St,2
219,1047 E FAYETTE St,3
220,1048 HIGHLAND St,4
221,1049 ACKERMAN Ave,1
222,105 BEECHER St,1
223,105 CLAIRE Rd,1
224,105 CULBERT St,1
225,105 DOUGLAS St,1
226,105 EDTIM Rd,1
227,105 Fountain St,1
228,105 GILBERT Ave,1
229,105 GRAPE Ter,1
230,105 HILLCREST Rd,1
231,105 HOLDEN St,1
232,105 LOMBARD Ave,1
233,105 MARLETT St,2
234,105 RANDALL Ave,1
235,105 RONEY Ln,6
236,105 SARAH LOGUEN St,3
237,105 SECOND NORTH St,2
238,105 SEDGWICK Dr,1
239,105 SMITH Ln,10
240,105 TOWNSEND Pl,1
241,105 VICTORIA Pl,2
242,1050 W GENESEE St,2
243,1054 S CLINTON St,3
244,1055 W GENESEE St,1
245,1056 W GENESEE St,2
246,106 ARNTS Pl,1
247,106 ARSENAL Dr,1
248,106 CONCORD Pl,1
249,106 CORDOVA St,1
250,106 DEMONG Dr,1
251,106 GREEN STREET Pl,2
252,106 HARTLEY St,1
253,106 HERBERT St,1
254,106 HILLTOP Rd,1
255,106 HUNTER Ave,1
256,106 HURON St,1
257,106 MOONEY Ave,1
258,106 OAK St,1
259,106 RONEY Ln,8
260,106 SMITH Ln,3
261,106 STEWART Ct,1
262,106 STRAND Pl,3
263,1060 E GENESEE St,1
264,1062 W GENESEE St,1
265,1065 JAMES St,1
266,107 BRISTOL Pl,1
267,107 COLLEGE Pl,5
268,107 DELONG Ave,1
269,107 E KENNEDY St,11
270,107 EUREKA St,1
271,107 FOUNTAIN St,2
272,107 GERTRUDE St,1
273,107 GIMINSKI Dr,1
274,107 GORDON Ave,1
275,107 GRIFFIN St,1
276,107 HARDING St,1
277,107 HERBERT St,1
278,107 JASPER Pl,9
279,107 LAMSON St,1
280,107 LOMA Ave,1
281,107 MARY St,2
282,107 RONEY Ln,14
283,107 SABINE St,3
284,107 SEDGWICK Dr,1
285,107 SIMON Dr,1
286,107 SMITH Ln,1
287,1072 JAMES St,1
288,1073 W GENESEE St,1
289,1074 S CLINTON St,10
290,1074 W GENESEE St,3
291,1075 COMSTOCK Ave,4
292,108 BERWYN Ave,1
293,108 BURTEN St,1
294,108 DANFORTH Ter,1
295,108 DELONG Ave,1
296,108 DIANA Ave,1
297,108 DICKERSON St,1
298,108 JERICHO Dr,1
299,108 ROCKWOOD Rd,1
300,108 RONEY Ln,2
301,108 S CARBON St,1
302,108 SCHILLER Ave,2
303,108 W JEFFERSON St,3
304,108 WADSWORTH St,1
305,108 WHITWELL Dr,1
306,1084 W ONONDAGA St,1
307,109 AVERY Ave,2
308,109 BROADVIEW Dr,1
309,109 DELONG Ave,1
310,109 ERIE St,1
311,109 FISH Ave,1
312,109 HARFORD Rd,1
313,109 HELEN St,1
314,109 HIER Ave,1
315,109 HIGHLAND Pl,2
316,109 LATTER Dr,1
317,109 MUNSON Dr,1
318,109 ORISKANY Dr,1
319,109 OTISCO St,2
320,109 ROCKWOOD Rd,1
321,109 RONEY Ln,5
322,109 S CARBON St,1
323,109 S WARREN St,8
324,109 SECOND NORTH St,1
325,109 SMITH Ln,4
326,109 ST ANNE Dr,1
327,109 W WASHINGTON St,1
328,109 WALTON St,1
329,109 WOOD Ave,1
330,1099 OAK St,1
331,11 CENTENNIAL Dr,1
332,11 WILL Ct,1
333,110 ACADEMY St,1
334,110 BRONSON St,1
335,110 COYKENDALL Ave,2
336,110 CROUSE Dr,1
337,110 CULBERT St,1
338,110 DEWITT Rd,1
339,110 EASTMAN Ave,2
340,110 EDTIM Rd,1
341,110 JEAN Ave,1
342,110 JUDSON St,1
343,110 KENSINGTON Pl,1
344,110 MCALLISTER Ave,1
345,110 MERZ Ave,1
346,110 MONTGOMERY St,9
347,110 MOONEY Ave,1
348,110 MUNSON Dr,2
349,110 PATTISON St,1
350,110 POLK St,1
351,110 POND Ln,1
352,110 RONEY Ln,13
353,110 SHELDON Ave,1
354,110 SHIRLEY Dr,1
355,110 SIMS Dr,3
356,110 STEUBEN St,1
357,110 W FAYETTE St,2
358,110 WALL St,1
359,110 WALNUT Pl,2
360,110 WAYNE St,1
361,110 WOLF St,1
362,1100 E GENESEE St,2
363,1100 EUCLID Ave,6
364,1100 JAMES St,7
365,1100 MADISON St,1
366,1100 S MCBRIDE St,1
367,1100BLK W ONONDAGA St,1
368,1101 BRIGHTON Pl,3
369,1101 E ADAMS St,1
370,1101 PARK St,2
371,1101 S TOWNSEND St,1
372,1101 TEALL Ave,1
373,1103 SPRING St,1
374,1104 BUTTERNUT St,4
375,1104 S STATE St,1
376,1104 W BELDEN Ave,1
377,1105 HARRISON St,6
378,1105 SPRING St,1
379,1105 W GENESEE St,1
380,1106 BUTTERNUT St,2
381,1106 CARBON St,1
382,1106 LANCASTER Ave,2
383,1106 S STATE St,1
384,1107 TEALL Ave,1
385,1108 BELLEVUE Ave,1
386,1108 E GENESEE St,3
387,1108 MADISON St,1
388,1109 FIRST NORTH St,1
389,1109 N SALINA St,1
390,111 BLOSSOM Rd,1
391,111 CLAIRE Rd,2
392,111 COLLEGE Pl,3
393,111 CRIPPEN Pl,2
394,111 CROUSE Dr,1
395,111 ELLIOTT St,1
396,111 FAGE Ave,1
397,111 FOXBORO Rd,3
398,111 HATCH St,1
399,111 HERBST Ave,1
400,111 HIGHLAND Pl,1
401,111 KNAUL St,1
402,111 LAFAYETTE Rd,5
403,111 NEUTRAL Ct,4
404,111 ROBERTS Ave,1
405,111 RONEY Ln,5
406,111 S CARBON St,1
407,111 SABINE St,1
408,111 SMITH Ln,4
409,111 VILLAGE DRIVE Ext,1
410,111 WAVERLY Ave,1
411,111 WENDELL Ter,1
412,1110 S STATE St,1
413,1111 BUTTERNUT St,1
414,1111 MADISON St,2
415,1111 S TOWNSEND St,1
416,1112 S GEDDES St,1
417,1113 PARK St,1
418,1113 S MCBRIDE St,1
419,1114 BURNET Ave,1
420,1114 E GENESEE St,2
421,1114 PARK St,4
422,1114 S GEDDES St,1
423,1114 SPRING St,1
424,1115 VALLEY Dr,1
425,1117 S MCBRIDE St,3
426,1117 W FAYETTE St,1
427,1118 PARK St,1
428,1118 W BELDEN Ave,1
429,1119 N TOWNSEND St,3
430,1119 TEALL Ave,1
431,1119 W GENESEE St,2
432,112 BLOSSOM Rd,2
433,112 BURNET Ave,1
434,112 CULBERT St,1
435,112 ELK St,2
436,112 FITCH St,1
437,112 GERE Ave,1
438,112 GLAHN Ave,1
439,112 GRAY Ave,1
440,112 HAFFENDEN Rd,1
441,112 HARTSON St,1
442,112 HOPE Ave,1
443,112 HUNTER Ave,1
444,112 MAPLE Ter,1
445,112 MARCELLUS St,1
446,112 MELROSE Ave,1
447,112 ROSEWOOD St,1
448,112 SCHILLER Ave,1
449,112 SHERIDAN Pl,1
450,112 THURGOOD Ter,1
451,1120 E GENESEE St,1
452,1120 N SALINA St,4
453,1120 W COLVIN St,1
454,1121 WESTMORELAND Ave,1
455,1122 TURTLE St,1
456,1123 PARK St,1
457,1124 E COLVIN St,1
458,1125 PARK St,1
459,1126 S MCBRIDE St,1
460,1126 WADSWORTH St,1
461,1127 E GENESEE St,1
462,113 CLAIRE Rd,5
463,113 FORDHAM Rd,1
464,113 MALVERNE Dr,1
465,113 NICHOLS Ave,1
466,113 OLIVE St,1
467,113 PENNSYLVANIA Ave,1
468,113 POND Ln,1
469,113 POND St,1
470,113 ROCKWOOD Pl,1
471,113 SABINE St,1
472,113 SCHILLER Ave,1
473,113 W PLEASANT Ave,1
474,1130 AVERY Ave,1
475,1130 SALT SPRINGS Rd,5
476,1131 CANNON St,1
477,1132 E FAYETTE St,2
478,1133 W ONONDAGA St,1
479,1134 WADSWORTH St,2
480,1135 SALT SPRINGS Rd,2
481,1136 BELLEVUE Ave,1
482,1137 BELLEVUE Ave,1
483,114 BEECHER St,1
484,114 BLOSSOM Rd,8
485,114 BRADLEY St,1
486,114 COYKENDALL Ave,1
487,114 EDTIM Rd,11
488,114 FAIRDALE Ave,1
489,114 FORDHAM Rd,1
490,114 HIER Ave,1
491,114 HOVEY St,1
492,114 MATHER St,1
493,114 MILES Ave,1
494,114 MITCHELL Ave,1
495,114 RADISSON Ct,1
496,114 SCHOECK Ave,1
497,114 SEWARD St,3
498,114 WOLCOTT Ter,1
499,1140 WADSWORTH St,1
500,1140 WOLF St,1
501,1144 BELLEVUE Ave,1
502,1144 CANNON St,1
503,115 AMES Ave,1
504,115 BERGER Ave,1
505,115 CANDEE Ave,3
506,115 CHARLOTTE St,1
507,115 CRIPPEN Pl,2
508,115 DOLL Pkwy,2
509,115 ELLIOTT St,1
510,115 ERIE St,1
511,115 FIRST NORTH St,1
512,115 HILLSDALE Ave,1
